Area,Aspect_Ratio,Pointedness_Major,Pointedness_Minor,Circularity,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt,Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
20.884,1.87,0.00476,0.0308,0.755,12067.91,1023.148,-0.021,0.698,8,3803.978,89,197,267022,week8_C02_cluster_2
13.882,2.358,0.0794,0.04587,0.67,11950.545,977.672,0.058,0.895,8,3803.978,89,197,267022,week8_C02_cluster_2
15.077,2.025,0.0592,0.01756,0.716,12055.063,1062.404,-0.355,0.423,8,3803.978,89,197,267022,week8_C02_cluster_2
23.069,1.869,0.01707,0.01332,0.766,12394.032,1269.938,0.146,0.662,8,3803.978,89,197,267022,week8_C02_cluster_2
27.881,1.542,0.01921,0.0372,0.821,12418.708,1256.221,0.413,0.533,8,3803.978,89,197,267022,week8_C02_cluster_2
22.295,2.208,0.00506,0.0003,0.681,12114.465,984.976,-0.069,0.03,8,3803.978,89,197,267022,week8_C02_cluster_2
18.581,1.483,0.0022,0.00375,0.818,12448.518,1299.71,0.058,0.326,8,3803.978,89,197,267022,week8_C02_cluster_2
15.322,1.843,0.03209,0.00649,0.781,12215.057,1291.436,-0.017,0.726,8,3803.978,89,197,267022,week8_C02_cluster_2
22.099,1.542,0.01253,0.00293,0.826,12157.92,1266.907,0.368,0.998,8,3803.978,89,197,267022,week8_C02_cluster_2
19.713,2.399,0.00473,0.018,0.692,12009.698,1370.03,0.589,0.695,8,3803.978,89,197,267022,week8_C02_cluster_2
18.924,1.865,0.05729,0.00191,0.646,12438.756,1068.385,-0.0006473,0.392,8,3803.978,89,197,267022,week8_C02_cluster_2
27.906,1.747,0.03415,0.00747,0.772,12407.254,1384.049,0.297,0.609,8,3803.978,89,197,267022,week8_C02_cluster_2
11.427,1.93,0.04338,0.00462,0.733,12473.417,1309,0.474,0.254,8,3803.978,89,197,267022,week8_C02_cluster_2
21.683,1.332,0.04673,0.05574,0.817,12463.934,1308.973,-0.015,0.218,8,3803.978,89,197,267022,week8_C02_cluster_2
27.793,1.751,0.01447,0.01974,0.793,12365.795,1416.822,-0.328,-0.485,8,3803.978,89,197,267022,week8_C02_cluster_2
15.146,1.618,0.01635,0.01482,0.838,12208.422,1313.925,0.196,0.493,8,3803.978,89,197,267022,week8_C02_cluster_2
23.726,2.064,0.00654,0.02358,0.752,12404.886,1366.378,0.002,0.567,8,3803.978,89,197,267022,week8_C02_cluster_2
8.786,1.339,0.00222,0.02601,0.847,12575.502,1077.527,0.069,0.278,8,3803.978,89,197,267022,week8_C02_cluster_2
18.973,2.272,0.1089,0.06343,0.657,12501.034,1313.315,0.564,0.311,8,3803.978,89,197,267022,week8_C02_cluster_2
8.154,1.648,0.0305,0.02212,0.728,12857.572,1698.741,0.355,-0.468,8,3803.978,89,197,267022,week8_C02_cluster_2
