Area,Aspect_Ratio,Pointedness_Major,Pointedness_Minor,Circularity,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt,Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
23.373,1.836,0.05619,0.01392,0.749,11741.961,819.657,0.013,1.039,16,2987.246,88,161,365072,week16_A07_cluster_2
10.319,1.647,0.03072,0.06537,0.792,12195.116,1233.488,0.565,0.968,16,2987.246,88,161,365072,week16_A07_cluster_2
15.513,2.159,0.05275,0.03975,0.628,11825.088,906.278,-0.594,1.432,16,2987.246,88,161,365072,week16_A07_cluster_2
15.063,2.571,0.04829,0.03324,0.654,11808.853,735.043,-0.623,0.589,16,2987.246,88,161,365072,week16_A07_cluster_2
22.084,1.819,0.01017,0.01145,0.784,11846.249,1107.987,-0.246,0.789,16,2987.246,88,161,365072,week16_A07_cluster_2
27.523,2.124,0.02449,0.00981,0.688,11897.921,941.404,0.095,0.789,16,2987.246,88,161,365072,week16_A07_cluster_2
19.095,2.063,0.0097,0.01797,0.709,11664.581,940.959,-0.061,0.029,16,2987.246,88,161,365072,week16_A07_cluster_2
23.794,1.335,0.03203,0.03174,0.832,12022.451,1279.083,0.264,0.34,16,2987.246,88,161,365072,week16_A07_cluster_2
21.129,2.105,0.02304,0.01258,0.732,11756.25,1128.979,-0.212,0.049,16,2987.246,88,161,365072,week16_A07_cluster_2
21.242,2.31,0.03508,0.01047,0.699,11622.474,861.731,-0.202,0.085,16,2987.246,88,161,365072,week16_A07_cluster_2
20.183,1.839,0.00902,0.05046,0.775,11850.985,1073.456,0.683,1.383,16,2987.246,88,161,365072,week16_A07_cluster_2
21.33,1.487,0.0022,0.05089,0.746,11954.115,1200.179,0.279,0.783,16,2987.246,88,161,365072,week16_A07_cluster_2
27.347,1.403,0.06525,0.01847,0.787,12068.324,1226.654,-0.294,0.618,16,2987.246,88,161,365072,week16_A07_cluster_2
17.772,2.503,0.02387,0.016,0.67,11827.444,1123.086,1.101,2.288,16,2987.246,88,161,365072,week16_A07_cluster_2
24.623,1.867,0.02162,0.01833,0.773,12095.08,1120.379,0.097,0.235,16,2987.246,88,161,365072,week16_A07_cluster_2
18.576,1.278,0.03408,0.01738,0.845,11562.514,1178.904,0.593,0.838,16,2987.246,88,161,365072,week16_A07_cluster_2
14.274,1.954,0.00119,0.03149,0.727,11911.001,1087.419,0.666,0.951,16,2987.246,88,161,365072,week16_A07_cluster_2
32.953,1.253,0.02815,0.02829,0.793,12171.691,1077.977,-0.104,0.644,16,2987.246,88,161,365072,week16_A07_cluster_2
15.455,1.666,0.01174,0.01569,0.772,12523.544,1502.827,0.45,0.077,16,2987.246,88,161,365072,week16_A07_cluster_2
6.899,1.973,0.04843,0.05764,0.742,12303.998,1553.005,-0.089,-0.355,16,2987.246,88,161,365072,week16_A07_cluster_2
14.896,1.889,0.00811,0.06295,0.675,11957.89,864.792,-0.31,0.279,16,2987.246,88,161,365072,week16_A07_cluster_2
22.584,2.328,0.03438,0.0459,0.666,11934.15,1154.955,-0.093,1.686,16,2987.246,88,161,365072,week16_A07_cluster_2
19.174,1.683,0.08016,0.00928,0.767,12025.48,1234.906,0.157,0.624,16,2987.246,88,161,365072,week16_A07_cluster_2
24.177,1.711,0.0326,0.00408,0.796,11633.278,1239.875,0.275,0.745,16,2987.246,88,161,365072,week16_A07_cluster_2
14.876,1.775,0.07713,0.11057,0.754,12047.719,1253.753,0.609,1.19,16,2987.246,88,161,365072,week16_A07_cluster_2
23.839,1.628,0.00632,0.02805,0.818,11742.461,1105.411,0.782,3.009,16,2987.246,88,161,365072,week16_A07_cluster_2
23.27,1.529,0.03532,0.0629,0.745,12318.589,1220.236,0.224,0.186,16,2987.246,88,161,365072,week16_A07_cluster_2
20.007,1.694,0.02506,0.01791,0.8,12136.137,1439.282,0.335,-0.373,16,2987.246,88,161,365072,week16_A07_cluster_2
11.706,1.241,0.0048,0.04119,0.766,12227.04,2361.24,0.431,-0.894,16,2987.246,88,161,365072,week16_A07_cluster_2
21.722,1.942,0.01658,0.03172,0.759,11635.528,1134.456,0.16,-0.092,16,2987.246,88,161,365072,week16_A07_cluster_2
30.341,2.165,0.07298,0.04037,0.705,12230.823,1266.034,0.705,0.723,16,2987.246,88,161,365072,week16_A07_cluster_2
20.09,1.922,0.03456,0.01655,0.76,11664.916,994.296,-0.211,0.292,16,2987.246,88,161,365072,week16_A07_cluster_2
10.55,1.825,0.00196,0.02095,0.791,12102.583,1009.902,-0.117,1.818,16,2987.246,88,161,365072,week16_A07_cluster_2
14.146,1.707,0.02136,0.01839,0.799,11823.683,975.651,0.293,2.247,16,2987.246,88,161,365072,week16_A07_cluster_2
12.632,2.26,0.01003,0.01728,0.705,11837.193,1951.506,0.516,-0.152,16,2987.246,88,161,365072,week16_A07_cluster_2
19.282,1.561,0.08512,0.03513,0.773,12225.741,1288.769,0.19,0.72,16,2987.246,88,161,365072,week16_A07_cluster_2
21.246,1.748,0.02262,0.0311,0.807,12102.924,960.672,-0.416,-0.275,16,2987.246,88,161,365072,week16_A07_cluster_2
7.33,1.623,0.05595,0.01659,0.744,11223.294,1437.216,-0.812,0.974,16,2987.246,88,161,365072,week16_A07_cluster_2
6.703,1.342,0.03678,0.158,0.817,12086.004,2018.141,0.442,-0.345,16,2987.246,88,161,365072,week16_A07_cluster_2
19.737,1.703,0.02225,0.02308,0.771,12762.754,2026.03,0.113,-0.749,16,2987.246,88,161,365072,week16_A07_cluster_2
16.92,1.859,0.02129,0.03577,0.762,11857.483,1091.115,-0.505,-0.101,16,2987.246,88,161,365072,week16_A07_cluster_2
9.06,1.643,0.04028,0.10615,0.743,12780.706,2446.64,0.074,-1.167,16,2987.246,88,161,365072,week16_A07_cluster_2
20.948,1.931,0.04273,0.00103,0.741,12121.629,978.816,0.28,2.153,16,2987.246,88,161,365072,week16_A07_cluster_2
14.205,1.957,0.01636,0.00133,0.755,11899.368,1184.505,0.698,1.665,16,2987.246,88,161,365072,week16_A07_cluster_2
17.767,2.497,0.01549,0.03223,0.673,12349.907,910.627,0.204,1.535,16,2987.246,88,161,365072,week16_A07_cluster_2
13.073,1.664,0.03197,0.08199,0.76,12909.816,1644.56,0.318,-0.523,16,2987.246,88,161,365072,week16_A07_cluster_2
13.965,2.081,0.00302,0.01241,0.74,12232.165,1328.637,0.366,0.552,16,2987.246,88,161,365072,week16_A07_cluster_2
18.439,2.041,0.0043,0.02256,0.754,11709.444,747.897,-0.673,2.418,16,2987.246,88,161,365072,week16_A07_cluster_2
12.833,1.346,0.10372,0.01598,0.793,12370.209,1767.661,0.42,-0.113,16,2987.246,88,161,365072,week16_A07_cluster_2
20.433,2.275,0.03372,0.00281,0.722,11990.758,1100.345,0.283,0.195,16,2987.246,88,161,365072,week16_A07_cluster_2
11.902,1.35,0.00746,0.00435,0.853,11830.987,1183.275,0.287,0.764,16,2987.246,88,161,365072,week16_A07_cluster_2
12.27,1.53,0.04084,0.00695,0.8,12015.157,1159.608,-0.456,0.673,16,2987.246,88,161,365072,week16_A07_cluster_2
9.756,1.595,0.02626,0.00236,0.808,11623.674,925.3,-0.669,0.952,16,2987.246,88,161,365072,week16_A07_cluster_2
18.894,2.121,0.06989,0.04317,0.72,12357.626,1280.733,0.386,0.267,16,2987.246,88,161,365072,week16_A07_cluster_2
25.034,1.715,0.03132,0.0229,0.81,12108.607,1167.43,0.562,0.901,16,2987.246,88,161,365072,week16_A07_cluster_2
13.367,1.022,0.07335,0.08756,0.801,12129.459,1811.819,0.776,-0.089,16,2987.246,88,161,365072,week16_A07_cluster_2
26.053,2.105,0.03151,0.03327,0.726,12302.341,994.357,0.15,1.092,16,2987.246,88,161,365072,week16_A07_cluster_2
20.668,2.371,0.00672,0.01274,0.667,12404.782,982.166,-0.215,-0.506,16,2987.246,88,161,365072,week16_A07_cluster_2
24.902,1.635,0.0429,0.01536,0.796,12363.356,1330.428,0.619,0.126,16,2987.246,88,161,365072,week16_A07_cluster_2
8.874,1.396,0.07487,0.03771,0.767,12379.018,1217.22,-0.136,0.142,16,2987.246,88,161,365072,week16_A07_cluster_2
7.649,1.938,0.01253,0.02373,0.74,11784.1,1541.059,0.487,0.132,16,2987.246,88,161,365072,week16_A07_cluster_2
22.021,1.737,0.02511,0.03748,0.785,12128.162,1315.595,-0.195,0.119,16,2987.246,88,161,365072,week16_A07_cluster_2
20.198,1.519,0.04232,0.00669,0.795,12096.016,1274.72,0.58,0.346,16,2987.246,88,161,365072,week16_A07_cluster_2
20.036,2.077,0.02634,0.07097,0.708,12031,1445.126,0.16,0.32,16,2987.246,88,161,365072,week16_A07_cluster_2
20.193,2.19,0.02237,0.00266,0.73,12131.116,946.738,-0.815,1.147,16,2987.246,88,161,365072,week16_A07_cluster_2
12.475,2.245,0.02209,0.05481,0.71,12404.761,782.984,0.004,1.343,16,2987.246,88,161,365072,week16_A07_cluster_2
