Area,Aspect_Ratio,Pointedness_Major,Pointedness_Minor,Circularity,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt,Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
18.811,1.799,0.01147,0.00216,0.772,11435.433,1364.511,-0.161,0.714,8,13921.302,253,839,266091,week8_B09_cluster_1
19.742,1.932,0.01023,0.00678,0.782,11357.288,1266.167,-0.126,0.574,8,13921.302,253,839,266091,week8_B09_cluster_1
18.894,1.974,0.02093,0.0053,0.752,11525.053,1306.596,0.773,1.113,8,13921.302,253,839,266091,week8_B09_cluster_1
21.913,2.091,0.00077,0.01351,0.727,11554.303,1202.767,-0.216,0.021,8,13921.302,253,839,266091,week8_B09_cluster_1
17.111,2.263,0.06769,0.0343,0.685,11405.735,1220.941,-0.523,1.224,8,13921.302,253,839,266091,week8_B09_cluster_1
9.736,1.332,0.03847,0.06476,0.843,11698.586,1172.793,-0.075,-0.507,8,13921.302,253,839,266091,week8_B09_cluster_1
14.832,2.116,0.01044,0.01715,0.734,11760.671,1286.262,0.497,-0.177,8,13921.302,253,839,266091,week8_B09_cluster_1
19.154,2.171,0.0152,0.01942,0.736,11352.442,1476.199,0.524,0.827,8,13921.302,253,839,266091,week8_B09_cluster_1
14.475,2.245,0.06829,0.01039,0.638,11571.538,1306.322,0.033,-0.244,8,13921.302,253,839,266091,week8_B09_cluster_1
18.532,1.815,0.02208,0.03916,0.778,11483.805,1275.112,0.29,0.661,8,13921.302,253,839,266091,week8_B09_cluster_1
14.955,2.68,0.03846,0.01325,0.621,11822.569,935.916,-0.33,0.44,8,13921.302,253,839,266091,week8_B09_cluster_1
21.085,2.552,0.07499,0.00085,0.644,11881.239,1413.76,0.209,0.349,8,13921.302,253,839,266091,week8_B09_cluster_1
22.501,2.233,0.04971,0.0039,0.716,11496.338,1306.572,0.308,0.171,8,13921.302,253,839,266091,week8_B09_cluster_1
19.958,1.474,0.00185,0.03225,0.789,11497.368,1400.875,0.267,0.107,8,13921.302,253,839,266091,week8_B09_cluster_1
16.91,1.974,0.01109,0.00279,0.743,11682.549,1428.837,0.341,-0.525,8,13921.302,253,839,266091,week8_B09_cluster_1
21.888,1.665,0.05447,0.00173,0.802,11866.349,1474.995,0.091,-0.402,8,13921.302,253,839,266091,week8_B09_cluster_1
15.224,1.676,0.04656,0.07547,0.757,11725.619,1332.185,-0.282,0.301,8,13921.302,253,839,266091,week8_B09_cluster_1
17.488,1.901,0.05636,0.04727,0.767,11553.568,1131.076,0.132,-0.062,8,13921.302,253,839,266091,week8_B09_cluster_1
16.636,1.724,0.00794,0.04212,0.807,11602.717,1345.846,0.174,1.329,8,13921.302,253,839,266091,week8_B09_cluster_1
21.202,2.081,0.0459,0.00317,0.732,11756.6,1708.962,0.347,0.026,8,13921.302,253,839,266091,week8_B09_cluster_1
16.783,1.711,0.02978,0.01218,0.802,11443.802,1408.39,0.299,-0.222,8,13921.302,253,839,266091,week8_B09_cluster_1
8.82,1.588,0.04752,0.10452,0.759,12745.548,1946.964,0.046,-0.825,8,13921.302,253,839,266091,week8_B09_cluster_1
8.526,1.978,0.05509,0.03841,0.737,13216.651,1803.809,-0.181,-0.588,8,13921.302,253,839,266091,week8_B09_cluster_1
14.519,1.834,0.03619,0.01094,0.778,11955.236,1427.404,0.201,0.068,8,13921.302,253,839,266091,week8_B09_cluster_1
16.979,2.581,0.08115,0.01869,0.639,11993.624,1617.908,0.245,-0.31,8,13921.302,253,839,266091,week8_B09_cluster_1
20.448,2.229,0.07774,0.05966,0.642,11820.781,1436.996,0.699,0.879,8,13921.302,253,839,266091,week8_B09_cluster_1
19.948,1.758,0.0355,0.02069,0.727,11715.325,1528.485,0.377,0.986,8,13921.302,253,839,266091,week8_B09_cluster_1
12.446,1.916,0.02965,0.0305,0.711,11628.35,1297.612,0.21,-0.095,8,13921.302,253,839,266091,week8_B09_cluster_1
15.337,1.803,0.03075,0.02486,0.8,11780.45,1077.814,-0.202,-0.085,8,13921.302,253,839,266091,week8_B09_cluster_1
13.999,1.435,0.04493,0.0117,0.83,11363.935,1165.981,-0.72,0.352,8,13921.302,253,839,266091,week8_B09_cluster_1
20.164,2.445,0.03596,0.00598,0.624,11665.401,1215.762,0.32,0.343,8,13921.302,253,839,266091,week8_B09_cluster_1
19.58,1.929,0.03489,0.07676,0.706,12334.793,1788.732,0.112,-0.128,8,13921.302,253,839,266091,week8_B09_cluster_1
6.223,1.025,0.11754,0.04518,0.848,11773.776,1939.626,0.252,-1.035,8,13921.302,253,839,266091,week8_B09_cluster_1
20.634,2.068,0.04087,0.01283,0.728,11717.223,1464.787,0.159,-0.074,8,13921.302,253,839,266091,week8_B09_cluster_1
16.366,1.935,0.00502,0.01953,0.748,11562.721,1405.018,0.665,0.111,8,13921.302,253,839,266091,week8_B09_cluster_1
17.243,2.255,0.00407,0.00145,0.69,11964.398,1390.766,0.197,0.83,8,13921.302,253,839,266091,week8_B09_cluster_1
11.936,1.564,0.03173,0.0109,0.816,11817.791,1496.271,0.117,-0.181,8,13921.302,253,839,266091,week8_B09_cluster_1
20.972,2.019,0.04623,0.01361,0.723,12110.186,1619.448,0.281,-0.123,8,13921.302,253,839,266091,week8_B09_cluster_1
16.307,1.76,0.00226,0.04169,0.771,12010.002,1560.306,0.246,0.285,8,13921.302,253,839,266091,week8_B09_cluster_1
14.612,2.549,0.01378,0.03993,0.61,12052.367,1745.779,0.566,-0.092,8,13921.302,253,839,266091,week8_B09_cluster_1
17.062,2.004,0.04535,0.01203,0.757,11983.726,1586.432,0.358,-0.277,8,13921.302,253,839,266091,week8_B09_cluster_1
19.135,2.719,0.03959,0.01969,0.614,11839.574,1625.157,0.473,0.687,8,13921.302,253,839,266091,week8_B09_cluster_1
12.725,1.976,0.07517,0.02081,0.729,11373.071,1273.701,-0.28,-0.002,8,13921.302,253,839,266091,week8_B09_cluster_1
14.636,1.645,0.0179,0.01739,0.82,11971.164,1434.993,-0.197,0.517,8,13921.302,253,839,266091,week8_B09_cluster_1
15.474,2.004,0.00361,0.0079,0.764,11890.341,1384.038,0.133,0.123,8,13921.302,253,839,266091,week8_B09_cluster_1
11.677,1.666,0.02072,0.00473,0.808,11828.714,1322.889,-0.249,-0.39,8,13921.302,253,839,266091,week8_B09_cluster_1
15.092,2.518,0.08116,0.00102,0.655,11991.958,1319.368,0.094,-0.421,8,13921.302,253,839,266091,week8_B09_cluster_1
18.478,2.385,0.04345,0.06272,0.649,12032.903,1601.923,0.125,-0.647,8,13921.302,253,839,266091,week8_B09_cluster_1
6.419,1.407,0.09322,0.17994,0.74,11722.135,2334.233,0.35,-0.953,8,13921.302,253,839,266091,week8_B09_cluster_1
17.601,1.917,0.06376,0.01518,0.719,11999.279,1547.507,-0.626,0.425,8,13921.302,253,839,266091,week8_B09_cluster_1
23.662,2.198,0.00558,0.04256,0.702,11837.583,1614.828,0.451,0.011,8,13921.302,253,839,266091,week8_B09_cluster_1
10.829,1.966,0.04121,0.05939,0.725,12230.45,1615.814,0.153,-0.686,8,13921.302,253,839,266091,week8_B09_cluster_1
