Area,Aspect_Ratio,Pointedness_Major,Pointedness_Minor,Circularity,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt,Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
8.041,1.716,0.0362,0.04786,0.685,11198.355,781.273,-2.057,9.307,0,5553.503,132,477,167061,week0_C06_cluster_1
8.252,2.125,0.0593,0.00979,0.746,11571.822,676.267,0.018,2.145,0,5553.503,132,477,167061,week0_C06_cluster_1
12.196,1.574,0.00502,0.00561,0.84,11053.737,852.567,-0.587,1.016,0,5553.503,132,477,167061,week0_C06_cluster_1
11.05,1.546,0.00915,0.02944,0.843,11655.613,1293.594,0.863,0.905,0,5553.503,132,477,167061,week0_C06_cluster_1
11.505,1.584,0.0124,0.00495,0.813,11291.547,692.913,-0.031,1.424,0,5553.503,132,477,167061,week0_C06_cluster_1
15.097,1.443,0.01422,0.043,0.829,11519.075,857.261,0.669,0.672,0,5553.503,132,477,167061,week0_C06_cluster_1
11.902,2.009,0.01686,0.02053,0.654,11368.239,794.257,0.573,1.226,0,5553.503,132,477,167061,week0_C06_cluster_1
10.981,2.077,0.07689,0.01106,0.688,11528.365,1082.065,1.334,3.553,0,5553.503,132,477,167061,week0_C06_cluster_1
6.248,1.138,0.08204,0.03507,0.812,10867.142,1380.403,-0.103,0.131,0,5553.503,132,477,167061,week0_C06_cluster_1
16.43,1.302,0.0515,0.01104,0.855,11287.598,895.7,-0.05,0.758,0,5553.503,132,477,167061,week0_C06_cluster_1
13.215,1.255,0.05352,0.06191,0.781,11537.872,1378.888,1.464,2.704,0,5553.503,132,477,167061,week0_C06_cluster_1
9.085,2.022,0.03139,0.05052,0.758,11144.448,703.526,-0.778,1.169,0,5553.503,132,477,167061,week0_C06_cluster_1
14.386,1.783,0.00437,0.03775,0.78,11483.815,900.422,0.606,-0.031,0,5553.503,132,477,167061,week0_C06_cluster_1
11.412,1.606,0.00901,0.0014,0.798,11314.965,938.037,0.311,3.254,0,5553.503,132,477,167061,week0_C06_cluster_1
8.947,1.842,0.03211,0.00529,0.793,10945.65,829.046,-0.354,0.101,0,5553.503,132,477,167061,week0_C06_cluster_1
11.25,1.974,0.013,0.00973,0.78,11049.177,718.817,-0.506,2.188,0,5553.503,132,477,167061,week0_C06_cluster_1
9.932,1.453,0.00019,0.01291,0.808,11813.802,1370.845,0.825,0.814,0,5553.503,132,477,167061,week0_C06_cluster_1
10.873,2.214,0.02381,0.01221,0.69,11413.582,700.27,0.705,0.972,0,5553.503,132,477,167061,week0_C06_cluster_1
12.426,1.673,0.00064,0.06354,0.761,11585.209,1062.361,0.776,1.606,0,5553.503,132,477,167061,week0_C06_cluster_1
10.413,1.888,0.00528,0.00787,0.771,11422.471,735.947,0.724,2.533,0,5553.503,132,477,167061,week0_C06_cluster_1
8.281,1.891,0.04129,0.09129,0.721,11521.031,934.741,-0.197,1.3,0,5553.503,132,477,167061,week0_C06_cluster_1
13.47,1.996,0.00434,0.02699,0.738,11269.278,627.794,-0.469,0.751,0,5553.503,132,477,167061,week0_C06_cluster_1
18.106,1.633,0.05024,0.00115,0.791,11407.949,814.617,0.821,1.326,0,5553.503,132,477,167061,week0_C06_cluster_1
8.369,1.354,0.10805,0.0298,0.79,11457.405,688.95,-0.052,1.298,0,5553.503,132,477,167061,week0_C06_cluster_1
15.783,1.817,0.03996,0.00734,0.779,11580.499,793.105,-0.614,1.704,0,5553.503,132,477,167061,week0_C06_cluster_1
10.084,1.742,0.0077,0.05912,0.738,11119.263,578.638,-0.212,0.262,0,5553.503,132,477,167061,week0_C06_cluster_1
6.674,1.292,0.02062,0.07033,0.829,10994.563,678.428,-0.086,-0.049,0,5553.503,132,477,167061,week0_C06_cluster_1
12.867,1.951,0.04029,0.06059,0.738,11327.43,1106.271,-0.919,1.278,0,5553.503,132,477,167061,week0_C06_cluster_1
9.584,1.869,0.122,0.02328,0.724,11522.858,752.43,0.117,0.498,0,5553.503,132,477,167061,week0_C06_cluster_1
11.589,2.085,0.09206,0.00463,0.715,11221.603,1196.88,-0.426,0.634,0,5553.503,132,477,167061,week0_C06_cluster_1
8.898,1.766,0.08384,0.03371,0.777,11852.446,834.32,0.935,1.917,0,5553.503,132,477,167061,week0_C06_cluster_1
12.132,2.061,0.00185,0.01963,0.733,11090.489,627.245,-0.437,0.752,0,5553.503,132,477,167061,week0_C06_cluster_1
6.968,2.214,0.07115,0.00653,0.701,11465.084,944.998,-1.329,1.619,0,5553.503,132,477,167061,week0_C06_cluster_1
12.74,2.251,0.01287,0.02515,0.636,11037.253,1087.493,-0.078,0.575,0,5553.503,132,477,167061,week0_C06_cluster_1
6.777,1.191,0.02745,0.00435,0.832,11678.077,746.474,-0.07,0.531,0,5553.503,132,477,167061,week0_C06_cluster_1
11.873,1.727,0.05228,0.08401,0.736,11237.924,898.591,1.173,2.329,0,5553.503,132,477,167061,week0_C06_cluster_1
6.292,1.483,0.00693,0.05303,0.813,12222.903,1166.647,1.297,2.02,0,5553.503,132,477,167061,week0_C06_cluster_1
15.425,1.856,0.03679,0.00852,0.765,11351.169,1110.894,0.715,1.027,0,5553.503,132,477,167061,week0_C06_cluster_1
