Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt
13.49,0.768,1.878,12357.894,1840.212,0.311,-0.427
16.146,0.728,1.935,11687.493,1120.799,0.06,0.799
17.047,0.762,1.906,12053.55,1810.175,0.456,-0.307
21.898,0.676,2.252,12126.664,1521.635,0.175,-0.094
19.953,0.828,1.326,12136.224,1503.483,-0.024,-0.928
14.509,0.661,2.043,11644.176,1528.721,0.377,0.034
13.245,0.704,2.127,12209.872,1160.791,-0.003,1.41
18.12,0.676,2.077,12516.209,1856.778,0.299,-0.758
11.834,0.798,1.331,12043.45,2074.913,0.363,-0.649
15.283,0.819,1.553,12494.772,1807.985,0.255,-0.214
10.089,0.878,1.292,12775.262,2059.674,-0.187,-0.901
11.059,0.7,1.881,12089.141,2003.512,-0.038,-0.582
21.712,0.747,1.78,12532.894,1727.184,0.115,-0.138
20.565,0.786,1.883,11348.931,1167.826,-0.319,-0.755
11.892,0.77,1.365,12180.795,1384.49,0.793,0.835
16.449,0.834,1.17,12193.139,1810.737,0.468,-0.37
22.716,0.758,1.649,12319.808,1346.627,0.407,0.587
26.293,0.714,1.987,11798.058,1489.7,-0.051,0.915
17.861,0.748,2.044,11194.943,1050.228,0.013,0.988
11.696,0.812,1.646,12958.044,1756.984,-0.21,-0.15
7.771,0.747,1.721,11033.849,1724.35,0.182,-0.447
9.883,0.717,1.95,11940.751,1472.66,-1.116,1.562
8.394,0.785,1.523,12336.196,1662.668,0.501,0.036
17.018,0.784,1.827,12179.802,1628.551,0.142,-0.46
19.301,0.705,2.175,11352.907,1155.754,-0.11,-0.785
12.387,0.767,1.865,10784.743,1019.509,-0.615,0.908
7.09,0.737,1.673,12062.543,2345.498,0.083,-1.001
25.157,0.656,2.222,11879.769,1797.88,0.348,-0.067
12.461,0.813,1.39,11370.133,1160.184,-0.01,0.265
16.288,0.773,1.789,11335.606,1198.801,1.267,3.317
22.501,0.818,1.631,12334.992,1086.046,-0.796,1.441
17.062,0.71,1.91,11642.326,1499.435,0.046,-0.302
22.388,0.705,1.878,11856.207,2036.388,0.205,-0.215
8.266,0.8,1.324,10474.27,1855.565,0.587,0.682
13.446,0.743,1.537,12314.725,2240.142,-0.185,-0.395
17.968,0.649,2.371,11974.745,1502.249,-0.161,0.82
19.335,0.69,2.187,12474.335,1227.135,0.247,0.353
14.769,0.767,1.522,11984.377,1308.161,0.264,0.502
6.35,0.714,1.91,11022.323,1495.569,-0.477,-0.081
24.814,0.734,1.39,12188.139,1738.144,0.197,-0.501
14.092,0.74,2.084,11139.483,1003.729,0.071,0.325
17.307,0.843,1.398,12460.245,1715.739,0.3,-0.368
15.092,0.815,1.468,12148.084,1684.587,0.428,0.101
12.76,0.871,1.127,11714.147,1151.215,-0.047,0.809
18.14,0.738,2.148,11987.503,1255.228,0.062,0.054
9.535,0.711,2.067,13351.552,2121.73,-0.388,-0.663
8.825,0.793,1.366,12809.996,2320.852,-0.476,-0.632
11.246,0.857,1.062,11563.905,1452.404,0.418,-0.088
21.712,0.767,1.838,12398.328,1581.469,-0.001,-0.27
17.14,0.784,1.386,11785.239,1549.29,0.237,-0.563
26.068,0.753,1.784,12389.822,1942.318,0.181,-0.521
16.15,0.742,1.912,11836.132,1690.892,0.0009901,0.591
16.998,0.69,1.936,12107.022,1658.454,0.117,-0.441
24.603,0.759,1.517,12821.785,1474.263,0.123,-0.471
10.785,0.692,2.216,11751.453,1213.819,-0.156,0.177
21.692,0.707,1.732,12190.332,1628.355,0.084,1.175
19.414,0.67,2.139,12026.645,1511.173,0.325,1.035
15.553,0.771,1.746,12005.052,1425.469,0.292,0.379
15.768,0.764,1.759,11511.694,1334.803,0.288,-0.224
24.681,0.831,1.507,11779.574,1868.832,-0.065,0.046
15.714,0.775,1.657,11361.932,1454.325,-0.096,0.455
9.972,0.83,1.301,11791.345,1600.136,-0.132,0.546
14.328,0.74,1.711,12442.807,1728.794,0.022,-0.414
17.841,0.789,1.872,11032.496,1033.583,-0.361,0.549
19.007,0.693,2.102,11899.725,1803.19,0.328,-0.33
6.453,0.809,1.597,13358.071,2188.202,-0.272,-1.079
7.541,0.743,1.899,12790.606,2291.033,-0.099,-0.989
10.231,0.651,2.325,12313.798,1807.57,0.341,-0.244
13.847,0.734,1.895,11364.945,1070.003,-0.033,0.564
19.37,0.803,1.631,11967.218,1300.745,-0.543,0.304
20.203,0.738,2.052,12062.598,1700.373,0.131,0.322
19.002,0.705,1.922,11835.232,1280.632,0.426,0.673
19.972,0.776,1.557,12742.909,1635.749,0.298,-0.579
13.798,0.776,1.739,11863.084,1655.947,0.186,-0.259
12.887,0.645,2.355,12121.423,1739.907,-0.065,-0.253
9.114,0.849,1.111,12294.231,2090.321,0.498,-0.805
11.721,0.747,1.809,12524.604,1872.432,0.121,-0.606
6.36,0.741,1.855,12709.107,2220.664,0.003,-1.13
16.297,0.757,1.811,11155.224,958.682,-0.94,1.131
18.11,0.738,1.864,11875.422,1679.815,-0.152,-0.05
9.825,0.72,1.85,12201.942,1481.006,0.177,-0.74
11.657,0.826,1.46,11456.864,1826.732,0.626,0.596
10.236,0.69,1.657,12288.113,1587.373,-0.089,0.729
21.305,0.792,1.713,11144.962,1021.536,-0.522,0.677
18.836,0.803,1.545,11442.463,1410.843,0.579,0.604
8.379,0.76,1.785,11638.527,1766.979,0.396,-0.463
15.352,0.838,1.477,12489.914,1631.44,0.097,-0.355
18.674,0.77,1.733,11381.533,1237.02,0.151,0.173
16.675,0.767,1.789,12561.068,1517.06,0.388,-0.308
9.756,0.782,1.847,12161.985,1755.846,0.258,-0.319
24.324,0.731,1.508,12014.509,1859.474,0.12,-0.526
16.724,0.837,1.593,11159.714,1038.536,0.296,0.904
8.448,0.781,1.353,13357.718,2335.715,-0.412,-0.791
18.488,0.619,1.946,11875.801,1811.722,0.49,0.009
23.015,0.684,2.119,11412.422,1170.656,0.738,1.25
10.119,0.865,1.295,11273.658,1000.054,-0.478,0.631
19.463,0.867,1.211,12495.778,1864.27,0.086,-0.527
20.796,0.814,1.726,11284.669,1265.341,0.34,-0.162
18.4,0.701,1.781,12556.652,1881.392,-0.011,-0.163
18.106,0.814,1.557,12102.47,1566.977,0.204,-0.318
11.03,0.766,1.788,12120.536,2042.315,-0.199,-0.232
16.312,0.78,1.687,11403.574,1148.826,-0.063,0.908
20.32,0.806,1.463,11165.809,1079.577,-0.491,0.853
9.036,0.738,1.935,12513.989,1927.534,0.35,-0.923
18.277,0.791,1.798,11220.152,1049.063,0.188,0.369
9.32,0.732,1.595,11440.818,1012.455,0.203,0.944
16.645,0.733,1.742,11878.035,1516.231,0.411,-0.453
17.273,0.68,2.422,12167.698,1230.666,0.451,0.706
18.071,0.766,1.519,11613.28,1187.795,0.442,0.686
20.805,0.766,1.866,11445.677,1051.512,0.211,0.42
16.062,0.798,1.556,11426.048,1692.057,0.108,-0.495
20.678,0.779,1.777,11764.941,1380.059,-0.534,0.191
18.037,0.766,1.723,11705.683,1397.959,0.186,0.305
19.816,0.711,2.165,12477.259,1732.192,0.558,-0.332
14.587,0.736,1.836,11832.887,1514.007,0.263,0.064
20.247,0.826,1.596,12727.02,1478.531,-0.036,0.806
14.965,0.745,1.735,11988.477,1578.276,0.523,0.412
12.358,0.811,1.464,12083.559,1293.091,0.1,0.57
14.597,0.785,1.463,11429.193,1377.188,0.345,0.252
22.207,0.88,1.311,11602.607,1289.871,0.814,0.757
18.36,0.783,1.662,12800.871,1533.526,-0.019,-0.209
13.406,0.772,1.628,11653.861,1490.455,0.393,0.004
15.734,0.83,1.515,12565.708,1745.526,0.304,0.283
6.836,0.816,1.467,12188.184,848.487,-0.101,0.751
10.462,0.787,1.691,12414.181,1760.058,0.155,0.319
21.815,0.766,1.928,11351.539,965.054,0.2,0.184
20.854,0.639,2.245,12496.127,1483.849,-0.016,-0.042
23.667,0.732,2.095,11203.217,1175.996,0.267,0.691
13.794,0.747,2.069,12111.572,1296.876,-0.245,0.84
13.313,0.647,2.151,12653.694,1939.275,-0.12,-0.228
15.033,0.756,1.529,11965.234,1394.171,0.518,0.719
17.601,0.772,1.759,12249.569,1433.995,0.173,0.199
12.98,0.709,1.511,11391.248,1409.904,-0.052,1.602
6.782,0.845,1.24,12057.699,1321.309,0.676,0.526
20.712,0.715,1.904,11722.924,1384.053,0.493,0.599
23.52,0.846,1.383,11654.961,1577.008,0.203,-0.115
23.77,0.718,1.902,12233.461,1584.533,0.569,0.207
17.777,0.711,2.115,12005.272,1814.089,0.273,0.083
20.825,0.791,1.712,11880.348,1336.58,0.538,-0.033
24.147,0.849,1.399,11566.1,1205.406,-0.206,0.489
17.674,0.76,1.709,11566.708,1491.51,-0.193,-0.563
25.568,0.75,1.961,12218.728,1662.898,0.141,0.03
23.442,0.715,2.069,12375.547,1092.461,0.229,0.72
6.346,0.821,1.377,11968.005,1343.783,-0.06,-0.113
8.462,0.809,1.733,13248.154,1635.164,0.315,-0.706
19.037,0.704,2.172,11425.426,1178.338,0.517,0.326
21.06,0.793,1.901,11273.496,953.29,-0.431,0.609
17.449,0.804,1.57,11759.554,1297.717,-0.05,0.245
18.106,0.782,1.676,11995.34,1196.043,-0.259,0.779
6.532,0.784,1.823,11065.473,1261.554,0.331,-0.008
20.56,0.823,1.396,11842.536,1645.086,0.383,-0.068
23.677,0.66,2.493,12840.658,1649.032,-0.017,0.285
18.664,0.734,1.669,11960.991,1260.524,-0.142,0.5
20.32,0.785,1.823,12270.84,1049.105,0.205,0.99
17.88,0.69,2.153,12540.616,1467.951,0.331,-0.197
17.861,0.681,2.458,12191.213,1146.922,-0.19,0.301
14.612,0.768,1.645,12078.43,1493.343,0.611,0.277
10.025,0.791,1.594,11761.968,1506.591,0.908,0.826
17.346,0.641,2.354,12692.231,2434.729,0.116,-1.203
17.165,0.827,1.601,11504.011,1142.838,0.263,0.948
19.522,0.738,1.974,12185.985,1750.602,-0.341,-0.112
14.68,0.75,2.04,10974.796,1315.705,-0.078,-0.154
30.096,0.756,1.491,12156.071,1693.223,-0.256,0.372
26.534,0.767,1.558,11675.417,1351.682,0.437,1.106
15.224,0.822,1.497,11475.097,1459.976,0.12,-0.518
15.17,0.706,2.189,11514.211,1035.988,0.053,0.569
20.957,0.731,1.812,12206.051,1365.551,-0.123,0.69
20.35,0.731,1.848,11642.654,1196.413,0.102,0.165
21.736,0.768,1.835,12025.828,1154.186,0.702,1.495
17.13,0.713,2.317,11960.328,1544.312,0.354,-0.049
22.138,0.624,2.639,12250.845,1626.021,0.11,0.098
14.347,0.814,1.689,10749.684,1123.883,0.113,-0.049
19.399,0.776,1.733,11514.121,1336.965,0.366,-0.18
16.449,0.721,1.78,11724.712,1206.933,0.605,0.8
13.632,0.653,2.463,12435.067,1676.315,-0.168,-0.312
18.527,0.708,2.042,12471.33,1164.66,-0.165,0.758
10.128,0.62,2.798,12273.823,1536.531,0.245,-0.312
16.342,0.727,1.939,11715.696,1345.811,-0.000627,0.008
20.58,0.723,2.009,12355.484,1447.099,0.233,0.451
19.953,0.714,1.946,12279.626,1591.556,-0.181,0.7
15.347,0.781,1.692,12897.17,1620.025,0.481,-0.209
13.235,0.805,1.319,12717.094,1794.438,0.08,-0.212
16.743,0.657,2.273,11507.677,1489.243,0.207,0.779
10.006,0.78,1.809,11433.398,1303.976,-0.203,-0.139
24.794,0.694,1.867,12148.382,1634.792,-0.151,-0.146
9.864,0.751,1.352,12280.333,1799.442,0.182,-0.608
21.046,0.711,2.099,11618.058,1316.817,0.739,1.563
20.198,0.632,2.191,11748.587,1547.313,0.526,0.349
13.632,0.688,1.908,12476.059,1626.063,0.237,-0.564
9.756,0.775,1.38,11981.278,1373.256,0.072,-0.411
19.615,0.823,1.385,11676.37,1206.705,0.241,-0.086
18.302,0.736,1.854,11997.361,1826.622,0.538,-0.07
18.762,0.798,1.33,12411.29,1522.268,0.457,0.122
21.614,0.769,1.795,12070.843,1641.56,0.257,-0.188
25.044,0.759,1.483,11880.529,1511.612,0.576,0.553
19.424,0.769,1.55,11886.913,3269.227,-0.092,-1.113
16.101,0.757,1.672,12175.313,1992.705,0.243,-0.412
18.708,0.707,1.889,12364.656,1611.005,0.402,0.098
26.21,0.825,1.508,12439.127,1544.133,0.162,-0.333
23.618,0.733,2.092,11132.877,1050.899,0.508,0.552
17.199,0.778,1.519,12731.45,1607.534,0.361,-0.71
16.052,0.738,1.639,11604.461,1272.591,0.067,-0.324
14.372,0.729,1.958,11883.463,1654.104,0.443,0.299
25.598,0.799,1.395,11943.015,1559.527,0.341,0.304
19.649,0.635,2.035,11848.872,1463.952,0.796,1.112
11.143,0.705,1.945,11870.853,1703.667,0.423,0.564
11.76,0.774,1.695,11332.192,1323.454,0.263,-0.281
17.307,0.74,1.896,11826.341,1094.824,0.308,0.682
12.671,0.788,1.274,12035.351,1364.495,1.047,1.316
22.246,0.795,1.534,11811.617,1407.632,0.601,0.953
22.716,0.787,1.551,11548.543,1396.508,0.772,0.853
30.39,0.825,1.32,11780.367,1408.014,-0.045,0.062
10.844,0.807,1.372,12344.104,1453.506,0.636,0.313
14.22,0.767,1.348,11838.94,1509.568,0.319,-0.029
