Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt,Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
23.344,0.681,2.071,11487.251,1305.775,0.205,0.947,16,3301.106,84,195,369021,week16_E02_cluster_1
20.854,0.675,2.145,11246.258,1425.69,0.143,-0.621,16,3301.106,84,195,369021,week16_E02_cluster_1
16.885,0.667,2.471,11161.343,1527.734,0.563,-0.063,16,3301.106,84,195,369021,week16_E02_cluster_1
10.163,0.768,1.767,10290.503,1577.144,0.691,0.472,16,3301.106,84,195,369021,week16_E02_cluster_1
12.157,0.698,2.238,10217.167,1106.822,0.061,-0.174,16,3301.106,84,195,369021,week16_E02_cluster_1
18.218,0.789,1.316,11458.761,1421.673,0.164,-0.268,16,3301.106,84,195,369021,week16_E02_cluster_1
6.282,0.69,2.417,9740.52,1555.316,0.221,-0.308,16,3301.106,84,195,369021,week16_E02_cluster_1
17.483,0.754,1.725,11178.849,1240.926,0.34,-0.399,16,3301.106,84,195,369021,week16_E02_cluster_1
16.493,0.622,2.824,10911.359,1053.727,-0.28,0.057,16,3301.106,84,195,369021,week16_E02_cluster_1
17.165,0.817,1.475,11597.921,1449.327,0.233,-0.263,16,3301.106,84,195,369021,week16_E02_cluster_1
12.804,0.794,1.133,11462.924,1479.433,0.175,-0.068,16,3301.106,84,195,369021,week16_E02_cluster_1
19.139,0.734,2.008,11328.05,1198.085,0.335,0.456,16,3301.106,84,195,369021,week16_E02_cluster_1
8.712,0.821,1.639,10418.378,1353.836,0.95,2.158,16,3301.106,84,195,369021,week16_E02_cluster_1
18.419,0.782,1.688,11135.247,821.752,-0.237,-0.268,16,3301.106,84,195,369021,week16_E02_cluster_1
16.582,0.721,1.735,10772.987,2135.036,1.164,1.112,16,3301.106,84,195,369021,week16_E02_cluster_1
23.883,0.742,1.789,11342.253,1237.298,0.693,1.196,16,3301.106,84,195,369021,week16_E02_cluster_1
19.752,0.658,2.322,11440.66,1569.534,0.58,0.552,16,3301.106,84,195,369021,week16_E02_cluster_1
20.658,0.616,2.421,11471.816,1458.47,0.331,0.614,16,3301.106,84,195,369021,week16_E02_cluster_1
14.573,0.764,1.807,11019.075,1190.734,0.376,1.171,16,3301.106,84,195,369021,week16_E02_cluster_1
22.756,0.72,2.131,11305.301,1146.606,0.466,1.175,16,3301.106,84,195,369021,week16_E02_cluster_1
18.022,0.762,1.951,10939.428,1149.643,0.617,1.125,16,3301.106,84,195,369021,week16_E02_cluster_1
21.594,0.782,1.77,11139.023,1038.96,-0.346,0.01,16,3301.106,84,195,369021,week16_E02_cluster_1
6.022,0.747,1.986,10921.587,1241.728,-0.085,-0.392,16,3301.106,84,195,369021,week16_E02_cluster_1
21.732,0.757,1.802,11400.848,1067.035,0.055,0.634,16,3301.106,84,195,369021,week16_E02_cluster_1
17.665,0.76,2.03,11094.004,1117.739,0.367,-0.192,16,3301.106,84,195,369021,week16_E02_cluster_1
24.539,0.71,2.2,11169.803,1162.133,0.507,-0.121,16,3301.106,84,195,369021,week16_E02_cluster_1
21.883,0.646,2.217,11126.918,1066.873,0.536,0.503,16,3301.106,84,195,369021,week16_E02_cluster_1
7.933,0.739,2.128,10919.427,979.374,0.03,-0.529,16,3301.106,84,195,369021,week16_E02_cluster_1
6.6,0.792,1.288,10932.886,922.21,-0.198,1.061,16,3301.106,84,195,369021,week16_E02_cluster_1
17.028,0.793,1.545,11048.879,1202.703,-0.61,0.207,16,3301.106,84,195,369021,week16_E02_cluster_1
