Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt
25.196,0.8,1.724,11904.496,1028.107,-0.351,0.64
22.075,0.876,1.333,11898.973,1128.505,0.114,0.339
6.782,0.795,1.717,11053.619,925.893,0.632,0.804
20.007,0.803,1.484,11740.932,929.393,-0.708,0.671
20.002,0.806,1.543,11765.109,1099.988,-0.135,0.641
14.293,0.652,2.657,11332.085,993.053,0.094,0.267
18.218,0.766,1.81,12134.81,1094.677,0.249,0.443
19.674,0.702,2.03,12310.529,798.164,0.133,2.079
14.357,0.861,1.3,11730.254,1673.058,-0.112,-0.575
30.184,0.821,1.504,12010.833,1146.783,0.245,0.585
13.975,0.816,1.673,12270.405,1037.616,0.161,0.372
19.291,0.713,2.069,12312.634,905.065,-0.502,0.741
24.76,0.688,1.996,12513.509,1215.603,0.845,1.081
22.422,0.785,1.636,12360.27,1290.691,0.486,0.428
19.674,0.805,1.632,12297.883,755.219,-0.154,1.628
13.475,0.777,1.595,12403.879,1597.805,0.125,-0.145
24.28,0.737,1.793,12292.927,1269.112,0.48,0.402
9.271,0.781,1.588,11628.766,1027.201,-0.121,0.651
24.784,0.803,1.71,12706.131,1178.782,0.373,0.613
15.807,0.734,1.432,11785.696,1596.235,0.27,0.256
20.913,0.767,1.969,12457.663,785.42,-0.551,0.747
16.846,0.845,1.451,12493.147,1158.229,0.236,1.123
27.783,0.745,1.961,12674.303,1138.512,0.732,1.136
22.667,0.639,1.87,12033.747,1054.871,0.27,0.902
12.627,0.601,2.766,11377.563,1228.234,-0.175,0.244
23.192,0.709,1.942,12538.851,1247.781,0.427,0.407
19.071,0.697,2.098,12773.374,1603.063,0.388,-0.382
15.298,0.676,1.896,12296.672,1342.813,0.182,-0.054
21.251,0.744,1.823,12454.565,1185.971,0.046,0.482
34.623,0.719,1.95,12098.972,1157.422,0.441,2.211
10.756,0.776,1.75,11769.948,1959.384,0.636,0.248
22.844,0.757,1.835,12271.305,1108.181,0.663,1.148
11.456,0.807,1.187,11592.911,1553.85,-0.547,-0.522
20.002,0.645,2.342,12425.022,907.998,-0.3,0.916
22.29,0.737,2.122,12102.765,1361.728,-0.008,2.176
20.756,0.782,1.675,12984.085,1242.792,0.025,0.05
21.295,0.722,2.116,12851.835,1356.721,0.468,0.867
7.301,0.742,1.791,11695.554,843.623,-0.657,-0.297
21.232,0.762,2.008,11834.199,915.997,-0.218,0.223
23.064,0.781,1.778,12050.526,852.203,-0.054,0.175
17.395,0.775,1.721,12669.665,1518.454,0.371,0.207
20.673,0.808,1.447,12448.91,1187.59,0.555,0.815
15.626,0.778,1.139,13087.207,1459.915,0.431,-0.569
10.775,0.731,1.697,11886.495,2487.777,-0.218,-0.17
26.695,0.853,1.388,12226.588,900.592,0.167,0.644
18.057,0.78,1.635,12315.778,1234.958,0.581,0.949
21.54,0.774,1.849,11919.369,1149.871,-0.255,-0.114
22.378,0.72,2.115,11932.796,866.07,-0.545,0.966
17.699,0.623,2.344,13139.121,1330.55,0.081,0.814
28.699,0.825,1.465,12562.496,1334.622,-0.171,0.72
17.307,0.716,2.004,12602.209,1134.144,0.492,0.731
6.718,0.836,1.281,11909.399,1728.165,0.61,0.295
21.545,0.808,1.617,12764.145,1098.707,-0.233,0.685
26.318,0.853,1.448,11912.245,912.162,0.236,0.931
11.417,0.803,1.102,12939.874,1809.847,0.195,-0.946
26.127,0.766,1.735,12387.458,1087.358,0.38,1.328
31.34,0.682,2.338,12521.294,1111.957,-0.233,1.551
18.816,0.794,1.716,12350.731,882.359,0.98,1.79
22.315,0.705,2.155,12473.933,977.306,0.51,0.825
17.277,0.739,2.041,11881.661,943.591,-0.391,0.459
19.997,0.83,1.573,12362.817,1021.717,-0.571,0.419
18.189,0.779,1.801,12080.629,934.024,0.216,0.48
28.489,0.796,1.68,12155.842,813.21,-0.441,0.806
21.805,0.747,2.032,12014.88,1048.731,0.71,2.447
19.772,0.711,2.142,12783.122,966.269,0.592,2.211
22.761,0.619,2.52,12631.219,904.458,-0.297,0.844
27.097,0.822,1.443,12139.753,939.39,-0.343,0.834
22.256,0.787,1.869,12708.661,1130.417,0.05,0.261
26.328,0.641,2.196,12801.975,1048.082,0.844,1.267
19.845,0.708,2.174,12664.07,934.03,-0.502,1.981
28.013,0.699,2.054,12584.451,998.866,0.161,1.577
23.398,0.741,2.035,12627.871,864.585,-0.254,0.618
32.997,0.723,1.524,12395.079,1096.332,-0.117,0.372
19.894,0.772,1.858,12044.685,922.599,-0.278,0.528
20.585,0.707,2.227,12559.95,1222.866,0.74,0.355
13.034,0.788,1.814,12656.107,766.307,-0.134,-0.188
32.271,0.77,1.573,12506.906,1054.669,0.672,1.05
21.678,0.631,2.329,12584.901,1046.816,0.092,0.346
24.108,0.801,1.572,12233.894,1387.472,-0.171,0.083
21.854,0.781,1.784,12727.509,1177.134,0.35,0.266
27.028,0.728,1.997,12694.085,1302.154,0.237,0.05
20.222,0.715,2.062,12054.392,889.679,0.449,1.537
21.991,0.62,2.703,12738.277,1021.535,0.601,1.049
22.623,0.687,2.313,12677.34,1008.718,0.407,1.225
19.478,0.708,2.102,12282.443,1670.296,0.312,-0.154
12.794,0.792,1.38,12806.176,1183.819,0.586,0.993
21.536,0.758,1.754,12178.227,1048.835,-0.588,0.666
15.67,0.842,1.386,12561.695,1241.157,0.656,0.79
8.438,0.801,1.467,12365.163,1434.035,0.485,0.899
22.457,0.642,2.599,12588.675,1491.438,0.234,0.216
15.048,0.864,1.175,12323.315,1217.338,0.635,1.352
21.281,0.818,1.664,12279.32,1021.59,-0.212,1.392
28.018,0.813,1.568,12423.261,1130.29,0.622,1.629
27.122,0.766,1.883,12522.236,1061.514,-0.13,0.828
8.698,0.731,1.864,12897.04,1243.327,0.941,0.74
14.896,0.689,1.87,12475.268,1547.401,0.469,0.002
18.282,0.741,1.751,12840.581,1115.939,0.515,1.371
20.389,0.758,1.93,12430.609,1016.575,-0.811,1.489
12.833,0.756,1.979,12547.952,1280.36,0.137,0.465
17.65,0.724,2.141,12302.654,1335.3,0.219,0.438
26.107,0.74,1.438,12708.459,1067.514,-0.25,0.795
29.307,0.81,1.348,12293.851,838.206,0.029,1.315
18.169,0.778,1.524,12664.477,1918.339,-0.275,-0.273
6.213,0.621,2.473,11535.515,1880.621,0.842,0.195
19.507,0.717,2.008,12430.142,989.766,-0.174,0.919
28.273,0.705,2.283,12278.91,1052.662,-0.337,-0.103
27.43,0.664,1.988,13140.165,1282.606,0.277,0.099
19.242,0.699,2.173,12822.679,1177.534,0.369,1.189
10.883,0.793,1.193,12711.696,1235.976,0.792,0.382
12.392,0.778,1.743,11664.407,1664.031,0.499,0.198
18.174,0.721,1.955,12445.491,1320.704,0.317,-0.069
22.364,0.763,1.849,12708.02,1167.132,-0.022,0.409
29.38,0.651,2.381,12880.243,993.439,0.743,1.655
19.987,0.712,2.134,12645.711,1059.539,-0.549,2.403
6.027,0.823,1.321,13113.747,1911.312,0.139,-1.066
9.344,0.754,1.521,12655.127,1709.404,0.404,-0.501
22.628,0.752,1.778,12188.889,1068.54,0.174,0.54
24.574,0.664,2.244,12747.734,1173.249,0.549,0.81
21.295,0.807,1.667,12940.498,1100.746,0.439,0.736
25.122,0.835,1.582,12364.688,846.127,-0.602,1.948
15.219,0.69,1.988,12770.323,1064.855,-0.006,0.361
23.809,0.842,1.561,12753.146,1054.063,-0.546,1.153
26.352,0.763,1.76,12547.197,1100.619,-0.128,0.604
23.432,0.787,1.64,12687.057,1134.163,0.121,0.71
20.35,0.779,1.737,12506.691,1175.219,0.171,0.809
21.139,0.82,1.564,12920.238,1223.201,0.11,0.442
16.386,0.703,2.207,12368.08,935.098,0.346,0.566
19.938,0.704,2.329,12741.264,857.316,-0.462,1.438
11.76,0.774,1.522,12577.112,1343.712,0.141,0.372
23.407,0.742,2.063,12423.856,1039.746,0.348,0.983
26.46,0.655,1.925,12733.567,1321.664,0.184,0.622
26.088,0.776,1.94,12707.178,819.525,-0.026,0.86
18.061,0.752,1.892,12661.566,1113.182,-0.014,1.13
27.435,0.677,2.445,12459.69,1081.534,0.161,-0.12
27.538,0.605,2.238,12831.187,984.27,-0.32,0.885
25.911,0.784,1.84,12728.849,1108.188,0.042,0.786
17.287,0.624,2.243,13180.999,1066.814,-0.789,1.073
8.252,0.752,1.699,12542.504,1077.713,0.775,0.894
24.907,0.789,1.697,12825.423,965.476,-0.071,0.05
22.427,0.718,1.866,12929.798,911.685,-0.324,0.604
22.393,0.73,2.079,12585.84,761.799,-0.32,1.76
24.52,0.747,2.055,12908.213,819.867,-0.088,2.259
24.515,0.754,1.784,12964.261,1205.931,-0.064,1.456
30.601,0.82,1.385,12709.995,1143.446,-1.382,3.739
20.311,0.745,1.931,12708.467,1053.161,-0.121,2.131
18.953,0.816,1.585,12958.331,1125.602,0.531,0.971
26.465,0.754,1.941,12807.842,1012.649,-0.398,0.656
17.919,0.721,2.247,12824.258,859.68,-0.611,0.909
19.943,0.681,2.418,12783.274,977.35,-0.624,1.668
21.874,0.738,2.169,12959.654,907.73,-0.129,1.047
21.908,0.724,1.809,12851.058,939.039,0.008,1.111
18.463,0.76,1.92,12899.452,834.685,-0.692,0.67
