Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
24,4801.569,36,249,465012,week24_A01_cluster_2
