,Area,Aspect Ratio,Major Pointedness,Minor Pointedness,Circularity,Intensity Std,Intensity Skew,Intensity Kurt,Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name,Cluster
35,8.506,2.218,0.00801,0.04828,0.67,1186.849,0.9790000000000001,1.732,0,6851.533,189,649,165021,week0_A02_cluster_1,0
36,7.806,1.66,0.13172999999999999,0.02048,0.759,1078.289,-0.077,1.169,0,6851.533,189,649,165021,week0_A02_cluster_1,0
37,15.655999999999999,2.057,0.04032,0.04097,0.698,1293.502,0.313,0.8059999999999999,0,6851.533,189,649,165021,week0_A02_cluster_1,0
38,14.607000000000001,1.432,0.09191,0.0341,0.82,1042.2930000000001,-0.228,2.795,0,6851.533,189,649,165021,week0_A02_cluster_1,0
39,11.53,1.892,0.0628,0.03486,0.7,1030.184,-0.01,-0.177,0,6851.533,189,649,165021,week0_A02_cluster_1,0
40,13.328,2.4019999999999997,0.05028,0.01548,0.675,1800.039,0.284,-0.327,0,6851.533,189,649,165021,week0_A02_cluster_1,0
41,20.139,1.53,0.01187,0.025639999999999996,0.787,1565.5439999999999,0.624,-0.005,0,6851.533,189,649,165021,week0_A02_cluster_1,0
42,6.816,1.611,0.03451,0.026639999999999997,0.7979999999999999,1114.356,0.341,0.27399999999999997,0,6851.533,189,649,165021,week0_A02_cluster_1,0
43,11.574000000000002,2.346,0.04359,0.06966,0.6729999999999999,1130.5710000000001,0.147,0.165,0,6851.533,189,649,165021,week0_A02_cluster_1,0
44,9.251,1.9980000000000002,0.07326,0.01214,0.754,1235.742,0.18100000000000002,-0.08900000000000001,0,6851.533,189,649,165021,week0_A02_cluster_1,0
45,8.389,1.663,0.13975,0.055720000000000006,0.725,1916.131,0.191,-0.425,0,6851.533,189,649,165021,week0_A02_cluster_1,0
46,15.538,1.879,0.04595,0.03726,0.725,1379.7620000000002,0.162,-0.581,0,6851.533,189,649,165021,week0_A02_cluster_1,0
47,9.692,1.931,0.06275,0.14712999999999998,0.6940000000000001,1083.7069999999999,-1.304,1.671,0,6851.533,189,649,165021,week0_A02_cluster_1,0
48,16.008,1.653,0.02825,0.0519,0.782,1295.1889999999999,0.239,1.37,0,6851.533,189,649,165021,week0_A02_cluster_1,0
49,10.016,1.93,0.01034,0.06443,0.7390000000000001,805.904,-0.331,0.7240000000000001,0,6851.533,189,649,165021,week0_A02_cluster_1,0
50,12.539000000000001,1.604,0.004070000000000001,0.00215,0.8009999999999999,1253.505,0.14400000000000002,0.8290000000000001,0,6851.533,189,649,165021,week0_A02_cluster_1,0
51,10.751,1.584,0.00775,0.0412,0.815,1275.201,0.061,-0.431,0,6851.533,189,649,165021,week0_A02_cluster_1,0
52,9.266,2.053,0.05669,0.03123,0.738,998.072,-0.099,0.46799999999999997,0,6851.533,189,649,165021,week0_A02_cluster_1,0
53,10.109,2.006,0.05599,0.08448,0.7120000000000001,902.951,-0.5820000000000001,2.301,0,6851.533,189,649,165021,week0_A02_cluster_1,0
54,9.173,1.685,0.03536,0.07593,0.815,1522.3270000000002,-0.25,-0.32299999999999995,0,6851.533,189,649,165021,week0_A02_cluster_1,0
55,9.134,2.29,0.03155,0.03608,0.679,1019.553,0.45899999999999996,1.5830000000000002,0,6851.533,189,649,165021,week0_A02_cluster_1,0
56,11.417,1.858,0.012190000000000001,0.023569999999999997,0.797,971.677,0.519,0.385,0,6851.533,189,649,165021,week0_A02_cluster_1,0
57,9.192,1.935,0.00309,0.019819999999999997,0.7559999999999999,1569.797,0.7559999999999999,-0.10400000000000001,0,6851.533,189,649,165021,week0_A02_cluster_1,0
58,8.497,1.9380000000000002,0.01678,0.031219999999999998,0.748,1179.1019999999999,0.28600000000000003,-0.264,0,6851.533,189,649,165021,week0_A02_cluster_1,0
59,10.589,1.945,0.06483,0.07,0.7290000000000001,1515.378,0.569,0.308,0,6851.533,189,649,165021,week0_A02_cluster_1,0
60,8.418,2.472,0.03362,0.055229999999999994,0.667,1219.817,0.631,1.02,0,6851.533,189,649,165021,week0_A02_cluster_1,0
61,8.09,1.472,0.08877,0.0441,0.777,1023.802,0.696,1.921,0,6851.533,189,649,165021,week0_A02_cluster_1,0
62,13.578,1.735,0.011770000000000001,0.01617,0.774,1097.448,0.45299999999999996,1.3519999999999999,0,6851.533,189,649,165021,week0_A02_cluster_1,0
63,10.481,1.8230000000000002,0.00344,0.03185,0.7809999999999999,1036.037,-0.518,0.762,0,6851.533,189,649,165021,week0_A02_cluster_1,0
64,16.391,1.5659999999999998,0.04135,0.01484,0.7909999999999999,1149.432,0.139,1.064,0,6851.533,189,649,165021,week0_A02_cluster_1,0
65,7.228,1.7469999999999999,0.06657,0.005,0.7959999999999999,1459.793,0.124,0.45899999999999996,0,6851.533,189,649,165021,week0_A02_cluster_1,0
66,8.448,2.009,0.00555,0.051089999999999997,0.754,1251.9260000000002,-0.617,0.057999999999999996,0,6851.533,189,649,165021,week0_A02_cluster_1,0
67,13.48,1.9509999999999998,0.00082,0.02575,0.763,1059.6,-0.21,0.484,0,6851.533,189,649,165021,week0_A02_cluster_1,0
68,10.751,1.864,0.05206,0.06698,0.741,927.6610000000001,0.20800000000000002,0.231,0,6851.533,189,649,165021,week0_A02_cluster_1,0
69,11.603,2.032,0.01605,0.01754,0.736,1266.9560000000001,0.618,0.813,0,6851.533,189,649,165021,week0_A02_cluster_1,0
70,6.385,1.784,0.03027,0.02585,0.789,1020.779,-0.467,0.08900000000000001,0,6851.533,189,649,165021,week0_A02_cluster_1,0
71,7.693,1.6580000000000001,0.03683,0.00541,0.76,1063.0430000000001,-0.1,1.072,0,6851.533,189,649,165021,week0_A02_cluster_1,0
72,9.06,1.464,0.07389,0.026869999999999998,0.774,1306.448,-0.491,0.762,0,6851.533,189,649,165021,week0_A02_cluster_1,0
73,12.618,1.681,0.04583,0.01051,0.7659999999999999,1400.509,0.745,1.097,0,6851.533,189,649,165021,week0_A02_cluster_1,0
74,12.24,1.9869999999999999,0.06067,0.015069999999999998,0.706,1078.022,-0.002,0.5579999999999999,0,6851.533,189,649,165021,week0_A02_cluster_1,0
75,8.894,1.919,0.041639999999999996,0.0392,0.78,964.5319999999999,-0.055999999999999994,0.361,0,6851.533,189,649,165021,week0_A02_cluster_1,0
76,8.702,2.269,0.04695,0.07372999999999999,0.6859999999999999,984.578,0.355,-0.258,0,6851.533,189,649,165021,week0_A02_cluster_1,0
77,10.462,2.154,0.014280000000000001,0.00677,0.713,1457.735,0.3,-0.546,0,6851.533,189,649,165021,week0_A02_cluster_1,0
78,11.456,1.8940000000000001,0.06437999999999999,0.0201,0.757,1358.025,0.455,0.431,0,6851.533,189,649,165021,week0_A02_cluster_1,0
79,10.755999999999998,1.8259999999999998,0.07712000000000001,0.0102,0.748,1167.7939999999999,0.225,2.276,0,6851.533,189,649,165021,week0_A02_cluster_1,0
80,9.795,1.801,0.01029,0.02698,0.763,897.697,-0.253,0.632,0,6851.533,189,649,165021,week0_A02_cluster_1,0
81,12.671,2.102,0.10016,0.03652,0.67,1498.543,0.733,0.22699999999999998,0,6851.533,189,649,165021,week0_A02_cluster_1,0
82,11.01,1.462,0.08665,0.05562,0.797,1340.951,0.452,0.387,0,6851.533,189,649,165021,week0_A02_cluster_1,0
83,12.265,1.694,0.02311,0.0037700000000000003,0.747,1102.856,-0.55,0.085,0,6851.533,189,649,165021,week0_A02_cluster_1,0
84,6.189,1.123,0.038669999999999996,0.02008,0.857,1451.1570000000002,-0.09699999999999999,0.5670000000000001,0,6851.533,189,649,165021,week0_A02_cluster_1,0
85,13.475,1.609,0.03435,0.012329999999999999,0.812,1157.396,0.8640000000000001,1.042,0,6851.533,189,649,165021,week0_A02_cluster_1,0
86,12.76,2.012,0.0022199999999999998,0.0625,0.7390000000000001,1334.777,-0.021,0.8959999999999999,0,6851.533,189,649,165021,week0_A02_cluster_1,0
87,10.255999999999998,1.679,0.02965,0.011859999999999999,0.821,1397.182,0.298,-0.14,0,6851.533,189,649,165021,week0_A02_cluster_1,0
88,10.241,1.679,0.026760000000000003,0.0012900000000000001,0.769,1093.431,0.248,1.09,0,6851.533,189,649,165021,week0_A02_cluster_1,0
89,7.874,1.52,0.00936,0.09063,0.816,1259.879,0.325,0.198,0,6851.533,189,649,165021,week0_A02_cluster_1,0
90,7.149,2.03,0.02888,0.01671,0.763,1120.695,-0.049,0.7390000000000001,0,6851.533,189,649,165021,week0_A02_cluster_1,0
91,15.155999999999999,1.974,0.06796,0.006809999999999999,0.75,1099.037,-0.26899999999999996,1.01,0,6851.533,189,649,165021,week0_A02_cluster_1,0
92,10.511,2.0180000000000002,0.042589999999999996,0.01494,0.75,970.112,-0.096,-0.267,0,6851.533,189,649,165021,week0_A02_cluster_1,0
93,7.335,1.923,0.04297,0.01112,0.777,1072.9260000000002,-0.168,-0.5,0,6851.533,189,649,165021,week0_A02_cluster_1,0
94,9.972000000000001,1.7009999999999998,0.015009999999999999,0.0098,0.728,1272.486,0.745,1.216,0,6851.533,189,649,165021,week0_A02_cluster_1,0
95,10.359000000000002,1.168,0.02087,0.03494,0.868,1354.773,0.064,-0.413,0,6851.533,189,649,165021,week0_A02_cluster_1,0
96,24.02,1.808,0.13107,0.02682,0.691,1189.974,-0.08800000000000001,0.521,0,6851.533,189,649,165021,week0_A02_cluster_1,0
97,9.085,1.5,0.0054399999999999995,0.05028,0.83,1207.509,0.005,-0.418,0,6851.533,189,649,165021,week0_A02_cluster_1,0
98,9.496,1.719,0.0002,0.02802,0.8109999999999999,1061.385,0.00023080000000000003,0.447,0,6851.533,189,649,165021,week0_A02_cluster_1,0
99,10.564,1.9269999999999998,0.1034,0.027999999999999997,0.693,1215.652,0.77,0.667,0,6851.533,189,649,165021,week0_A02_cluster_1,0
100,10.305,1.8969999999999998,0.08044,0.00364,0.733,1230.4180000000001,0.40700000000000003,1.3159999999999998,0,6851.533,189,649,165021,week0_A02_cluster_1,0
101,11.716,1.775,0.03998,0.04539,0.748,1497.486,0.223,-0.467,0,6851.533,189,649,165021,week0_A02_cluster_1,0
102,7.257000000000001,1.575,0.02299,0.04967,0.818,1444.9160000000002,0.562,-0.096,0,6851.533,189,649,165021,week0_A02_cluster_1,0
103,9.923,2.137,0.040389999999999995,0.05735,0.6859999999999999,1161.0339999999999,0.7809999999999999,1.36,0,6851.533,189,649,165021,week0_A02_cluster_1,0
104,13.190999999999999,1.715,0.0681,0.02986,0.701,1408.967,0.511,-0.276,0,6851.533,189,649,165021,week0_A02_cluster_1,0
105,7.335,1.979,0.040839999999999994,0.05089,0.735,1093.385,-0.366,0.272,0,6851.533,189,649,165021,week0_A02_cluster_1,0
