Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt
10.275,0.78,1.534,11536.075,2802.774,-0.206,-1.011
8.796,0.811,1.396,11551.101,997.12,-0.131,1.301
17.532,0.749,1.447,11960.814,1218.968,0.161,2.141
13.745,0.689,2.092,11934.077,1258.381,0.954,1.626
9.085,0.745,1.811,11752.509,1134.661,0.004,0.848
11.515,0.738,1.947,12235.329,1381.852,0.052,-0.179
10.221,0.831,1.557,12151.845,1426.682,0.25,-0.276
9.29,0.777,1.7,12619.153,1636.069,0.351,-0.325
13.206,0.733,1.645,12143.849,1192.002,0.847,0.55
12.441,0.782,1.383,11933.534,1143.365,0.959,3.865
14.073,0.705,1.918,12054.649,1486.98,0.434,0.036
9.957,0.672,2.294,12396.856,1576.548,1.096,0.769
13.892,0.814,1.492,11823.077,1347.596,0.601,1.617
11.838,0.66,2.227,11937.482,1490.556,0.924,1.173
12.75,0.729,1.873,12171.167,1388.713,0.297,0.406
13.656,0.684,2,12048.783,1341.273,0.008,0.151
13.362,0.753,1.949,11777.103,1319.473,0.155,1.162
10.716,0.847,1.314,11792.465,1060,-0.254,-0.133
9.638,0.769,1.762,12264.471,1301.566,0.064,0.222
12.921,0.781,1.746,11885.287,1363.701,0.489,0.902
15.773,0.777,1.815,12099.348,1199.734,0.105,1.153
22.3,0.808,1.553,11992.069,1331.142,0.509,0.473
8.639,0.702,2.171,11222.677,1116.394,-0.624,-0.059
11.074,0.867,1.234,11772.061,1139.365,0.045,0.487
10.849,0.822,1.649,11889.45,949.516,-0.453,0.268
9.256,0.775,1.943,11730.904,807.904,-0.233,-0.11
14.22,0.749,1.751,12285.022,969.196,0.067,0.499
8.624,0.732,2.159,11640.17,970.978,0.117,-0.235
10.251,0.746,2.031,11949.29,1405.048,0.733,0.721
15.812,0.771,1.634,12087.911,1120.967,0.317,1.509
17.439,0.789,1.324,12193.448,1289.272,0.257,0.29
7.223,0.829,1.347,12372.917,983.041,0.381,-0.108
8.35,0.797,1.847,11894.231,1056.33,-0.141,0.185
7.664,0.771,1.897,11748.201,2426.392,0.391,-0.655
12.363,0.77,1.66,12012.611,1478.128,0.44,-0.003
6.022,0.803,1.514,12211.726,1091.889,0.099,-0.57
13.455,0.727,2.069,11748.346,1262.037,0.804,1.192
13.833,0.787,1.682,11718.354,924.34,0.01,1.841
6.659,0.71,2.352,11978.853,1328.859,0.19,-0.559
13.073,0.67,2.219,12314.436,1100.298,0.336,0.649
