Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
16,1651.212,57,90,366083,week16_B08_cluster_3
