Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt
10.04,0.772,1.981,11290.023,642.772,0.087,0.01
7.718,0.777,1.925,11261.131,558.091,-0.077,0.141
6.493,0.805,1.37,11195.633,702.675,-0.745,0.556
8.761,0.824,1.512,10687.24,994.208,-0.976,1.754
8.208,0.775,1.915,11059.139,1121.622,0.739,2.339
12.113,0.798,1.806,11155.119,687.441,0.392,0.999
8.33,0.823,1.658,11269.068,785.312,-0.696,2.242
10.432,0.718,1.796,11202.271,791.025,0.6,2.206
13.514,0.86,1.354,10912.522,860.523,-0.287,0.514
11.299,0.84,1.357,10842.176,879.519,0.072,0.538
14.308,0.837,1.481,11203.71,889.639,0.66,1.52
13.25,0.786,1.781,10924.678,828.803,-0.59,-0.045
9.643,0.766,1.556,11571.325,1125.233,1.281,1.494
11.633,0.688,1.917,11519.955,703.275,0.991,3.159
12.064,0.834,1.688,11301.133,720.518,-0.117,1.358
12.456,0.74,2.046,10835.598,1118.668,0.703,1.949
12.892,0.788,1.694,11049.795,1156.89,0.38,1.82
12.025,0.742,2.073,10904.839,839.935,-0.265,-0.42
14.386,0.808,1.773,11012.211,824.22,0.476,1.14
10.163,0.813,1.758,11255.226,722.421,0.474,0.789
12.25,0.775,1.861,10863.911,927.932,0.033,0.27
12.074,0.694,2.397,10774.485,794.304,-0.05,0.177
13.299,0.753,1.929,11355.019,968.923,0.73,2.659
10.364,0.703,1.837,10991.712,1056.091,0.318,0.265
16.763,0.683,2.359,11163.771,879.169,-0.149,0.869
10.628,0.783,1.805,11614.041,1334.368,0.603,0.515
11.706,0.847,1.574,10867.213,820.393,0.177,0.356
16.606,0.775,1.689,11451.127,1133.406,0.884,1.84
10.961,0.721,1.794,11131.84,1292.942,0.903,2.074
12.039,0.816,1.317,11017.989,1146.881,0.671,1.488
7.639,0.681,2.304,10735.53,822.93,-0.441,0.502
18.017,0.715,2.008,11129.079,1029.709,0.37,1.378
14.872,0.772,1.567,11135.547,819.994,-0.182,0.292
11.172,0.877,1.404,11063.077,918.059,-0.187,0.807
9.78,0.769,1.64,10815.4,857.314,1.453,7.501
7.198,0.849,1.443,11894.142,1327.073,0.98,1.036
9.398,0.785,1.914,10880.893,926.284,-0.168,-0.111
9.32,0.844,1.144,11449.763,1324.569,0.389,0.152
15.979,0.813,1.677,11274.399,1117.3,0.268,0.777
9.555,0.819,1.597,11115.914,1162.201,-0.578,2.172
10.123,0.721,2.034,11766.456,1559.457,0.401,-0.47
12.877,0.766,1.582,10888.377,906.039,0.277,0.97
19.693,0.759,1.727,11597.273,1186.288,0.45,2.383
10.824,0.727,1.763,11923.762,1539.114,0.637,-0.128
11.5,0.804,1.591,10986.535,1345.587,0.26,-0.194
15.714,0.735,1.506,11235.78,1240.083,-0.485,0.55
10.711,0.703,1.807,11101.334,1340.132,-0.116,-0.049
11.672,0.811,1.75,10850.735,770.394,-0.659,0.755
22.947,0.831,1.476,11251.886,767.577,0.117,2.354
14.921,0.822,1.23,11180.182,986.03,0.086,0.192
13.387,0.696,2.153,11557.673,1071.309,0.783,1.563
13.926,0.769,1.866,11389.234,1004.93,-0.139,2.308
12.588,0.775,1.811,11324.511,1057.629,0.555,0.587
11.691,0.857,1.468,10648.483,1536.244,-0.228,-0.492
11.368,0.769,1.743,10872.471,1142.016,-0.421,0.042
8.364,0.81,1.657,10981.78,795.014,0.036,-0.433
7.835,0.771,1.863,10629.338,1280.947,0.055,-0.34
9.403,0.786,1.64,11674.677,1205.76,0.949,1.52
7.017,0.729,1.665,10817.964,1166.576,-0.066,0.443
11.353,0.769,1.409,12132.75,1409.695,0.736,-0.059
10.417,0.797,1.734,10626.944,1204.25,0.141,-0.042
7.296,0.81,1.545,11000.3,946.818,0.204,-0.266
10.878,0.853,1.252,11945.726,1485.405,0.862,0.297
13.519,0.814,1.654,10897.955,1398.302,-0.251,0.403
19.154,0.782,1.555,11464.668,1216.195,0.471,1.098
19.825,0.729,1.651,11336.408,983.496,-0.027,1.283
13.24,0.809,1.607,11388.932,1232.3,0.492,0.987
11.961,0.847,1.378,11383.109,1151.361,0.456,0.136
9.462,0.795,1.607,11108.132,850.313,-0.21,0.762
14.97,0.822,1.497,10964.265,844.968,-0.722,3.344
11.809,0.742,1.638,10892.885,983.73,-0.206,0.7
11.206,0.786,1.77,10898.073,982.946,0.598,1.837
9.246,0.733,1.863,11164.967,1026.558,0.462,0.597
15.484,0.789,1.52,11193.244,1273.467,0.303,0.915
13.044,0.777,1.751,11933.012,1397.866,0.58,0.393
9.8,0.776,1.557,11010.992,1202.747,0.093,-0.507
10.065,0.762,1.789,11221.736,1098.038,0.892,2.337
17.885,0.82,1.525,11225.338,716.239,0.075,0.629
8.722,0.842,1.481,11632.529,1208.687,1.167,1.558
8.977,0.852,1.394,11063.613,975.814,-0.939,1.587
18.816,0.757,1.612,11527.66,1237.918,0.474,1.081
6.164,0.761,1.587,11097.692,1259.343,0.485,1.765
9.545,0.863,1.321,11548.143,1355.364,0.876,0.417
9.937,0.767,1.963,11198.442,928.593,-0.229,0.365
18.649,0.743,1.791,11200.059,1243.545,0.629,3.561
7.816,0.695,2.042,11113.584,968.496,0.081,1.108
10.192,0.709,1.979,10660.867,1038.777,-0.454,0.185
7.943,0.788,1.831,10664.87,911.376,-0.42,0.542
11.476,0.84,1.353,10982.18,1327.426,-0.097,-0.238
13.921,0.807,1.341,11460.686,1218.075,-0.025,-0.176
20.178,0.807,1.412,11213.708,1410.469,0.055,-0.059
16.974,0.787,1.431,11665.653,1511.629,0.45,0.533
16.792,0.856,1.4,11436.167,999.832,0.068,0.484
11.54,0.782,1.844,11110.936,845.341,-0.122,-0.562
12.569,0.791,1.874,10983.04,877.177,-0.028,0.074
12.544,0.812,1.588,11066.294,1035.449,0.089,0.384
11.133,0.73,1.782,11517.72,1303.624,1.144,2.39
14.896,0.782,1.525,11116.954,1165.105,-0.099,-0.529
9.594,0.826,1.583,11464.717,1576.471,0.589,0.271
6.669,0.783,1.744,10440.446,1251.771,-0.109,1.407
9.854,0.861,1.356,11039.307,1068.006,0.11,0.331
21.981,0.714,1.819,11322.237,1330.085,0.241,0.598
12.069,0.768,1.745,11724.98,1514.617,0.53,0.21
10.128,0.824,1.615,11959.208,1468.924,0.773,0.175
7.526,0.82,1.309,10987.915,874.334,-0.787,0.945
11.393,0.791,1.629,11938.854,1618.136,0.435,-0.28
14.45,0.821,1.689,11042.107,1004.484,0.423,1.988
9.854,0.795,1.559,11002.686,1405.902,-0.265,0.088
10.373,0.774,1.761,11385.854,1169.895,0.12,0.18
11.696,0.889,1.211,10755.13,1154.889,-0.553,-0.158
12.554,0.748,1.628,11316.49,1405.593,-0.301,1.265
18.36,0.7,1.706,11284.631,1258.895,-0.154,-0.207
11.726,0.818,1.314,11642.987,1452.864,0.734,0.47
9.712,0.825,1.09,11722.037,1796.621,0.4,-0.146
6.267,0.766,1.661,11542.951,1560.797,0.75,0.619
11.638,0.811,1.32,11943.147,1493.53,0.432,-0.616
14.847,0.857,1.172,11415.508,1124.139,0.377,-0.412
9.8,0.879,1.179,12014.843,1588.654,-0.156,0.072
18.576,0.732,1.558,11305.855,1113.987,-0.412,1.489
11.363,0.729,2.115,10678.611,982.277,-0.085,0.483
16.596,0.831,1.353,11545.103,1227.974,0.787,0.863
12.691,0.728,1.778,10879.444,1202.44,-0.538,0.365
9.903,0.85,1.548,10868.743,1072.03,-0.129,0.051
18.302,0.82,1.557,11330.914,1099.88,-0.359,0.522
14.117,0.794,1.501,10942.84,1105.43,-0.887,1.206
9.741,0.832,1.42,10729.22,1152.388,0.484,0.45
16.64,0.809,1.487,11394.61,1511.85,0.236,0.374
9.104,0.856,1.371,11334.767,1267.263,-0.252,0.303
9.153,0.779,1.94,10819.557,1028.882,0.033,-0.209
10.682,0.829,1.677,11482.337,930.033,0.691,0.911
8.085,0.753,1.63,12255.942,1405.515,0.68,0.117
11.26,0.795,1.366,11044.326,1445.468,0.119,-0.261
14.945,0.748,1.889,11324.828,880.746,-0.02,0.732
10.893,0.862,1.405,11345.408,1411.668,-0.2,1.72
9.893,0.78,1.893,10600.552,873.555,-0.518,-0.208
10.633,0.777,1.714,10719.465,1398.217,0.064,0.065
11.657,0.715,1.772,10925.832,1444.974,0.123,-0.396
12.696,0.709,1.808,11651.482,987.852,0.444,0.372
10.035,0.779,1.652,11211.163,948.984,0.21,-0.088
8.698,0.745,1.833,10754.922,971.817,0.154,0.042
14.558,0.767,1.856,11453.286,1193.865,0.197,1.175
11.397,0.748,1.564,11095.482,981.129,0.53,3.093
11.794,0.778,1.525,11249.693,1445.935,0.246,0.761
6.61,0.781,1.461,10633.028,1223.837,-0.695,0.611
9.207,0.789,1.673,11189.42,1405.371,0.558,0.644
8.918,0.783,1.743,11714.008,1076.441,0.181,-0.043
11.427,0.748,1.532,11521.238,1208.38,0.903,1.757
7.943,0.79,1.677,11450.505,1647.345,0.155,0.226
21.202,0.865,1.331,11155.813,1209.924,0.266,0.731
8.257,0.81,1.795,11293.632,1716.536,0.059,-0.357
12.206,0.886,1.348,11167.082,1399.828,0.779,0.92
12.725,0.86,1.347,11400.417,1062.609,0.303,0.299
12.426,0.892,1.203,11430.803,1299.17,0.744,1.584
12.196,0.741,1.857,10839.95,1147.931,0.047,1.178
10.903,0.79,1.469,11260.46,1037.385,-0.16,0.518
9.29,0.781,1.674,10718.222,1312.365,0.466,0.415
16.474,0.727,1.762,11609.314,1164.245,0.008,0.648
10.927,0.731,1.73,11638.494,1061.836,0.683,1.361
10.604,0.657,1.642,11114.569,1327.318,-0.006,0.711
6.434,0.811,1.378,11304.569,1437.123,-0.146,0.043
8.467,0.896,1.188,11594.94,1398.332,1.129,0.912
11.99,0.821,1.555,11367.566,1522.132,0.16,-0.377
8.227,0.779,1.451,12207.035,1662.127,0.278,-0.316
8.82,0.767,1.815,11887.057,1364.107,0.733,0.454
9.815,0.789,1.854,11065.577,852.225,-0.11,0.3
8.168,0.818,1.467,11701.761,948.876,0.248,-0.181
9.143,0.805,1.695,10835.666,984.011,-0.046,0.002
9.531,0.819,1.082,11610.297,1084.57,0.586,0.768
7.963,0.757,1.889,10742.415,1291.426,1.903,5.249
14.195,0.842,1.407,11590.434,1098.677,0.813,1.244
11.687,0.713,1.623,11381.08,1630.551,0.328,0.676
11.667,0.792,1.761,11636.478,1358.359,-0.274,1.372
12.686,0.876,1.325,11223.951,998.614,-0.018,1.684
12.27,0.856,1.342,11124.341,924.888,-0.252,0.614
19.83,0.83,1.344,11192.514,1203.982,-0.208,-0.232
14.778,0.804,1.166,11070.381,1145.667,-1.044,1.02
8.732,0.798,1.408,11288.492,1517.474,0.207,0.359
10.398,0.722,1.758,11101.203,925.811,-0.05,-0.787
11.731,0.847,1.49,11046.566,1311.12,0.269,0.015
10.903,0.824,1.635,11852.779,1192.393,1.064,1.67
8.57,0.825,1.333,11743.507,1512.031,-0.116,-0.134
22.266,0.834,1.094,11339.351,1313.648,0.641,0.927
10.932,0.791,1.51,11081.004,1243.089,-0.24,-0.062
9.947,0.753,1.94,12084.334,1274.977,0.542,0.202
14.769,0.671,1.91,12201.56,1529.364,0.687,-0.034
10.809,0.808,1.401,11494.429,1737.094,0.418,0.912
10.496,0.742,1.879,11448.21,1274.494,0.54,0.652
16.92,0.794,1.583,11340.813,1185.18,0.164,0.304
10.055,0.726,1.871,11013.077,1180.656,0.32,-0.179
12.99,0.768,1.85,10942.133,1099.954,-0.187,0.191
15.68,0.67,1.78,11248.208,1268.935,0.81,1.677
11.883,0.768,1.476,11432.859,1413.107,1.053,1.057
6.787,0.721,1.613,10820.49,1132.932,0.104,0.264
11.486,0.73,1.771,10780.075,1125.45,-0.112,0.102
13.681,0.771,1.74,11389.333,1310.113,0.827,1.68
12.603,0.862,1.378,11000.86,1063.963,-0.462,0.452
18.86,0.809,1.567,11589.992,1177.776,0.759,1.647
13.651,0.789,1.675,11866.346,1204.185,0.566,0.918
8.286,0.783,1.562,11700.487,1219.773,1.144,1.405
15.185,0.799,1.593,11594.189,1170.018,0.436,0.846
16.792,0.786,1.572,11272.125,991.334,-0.319,0.716
11.309,0.721,1.854,11454.992,1561.503,0.208,0.427
11.598,0.735,1.959,10858.551,991.319,-0.645,0.588
7.585,0.88,1.077,11752.665,1196.931,0.782,1.855
11.255,0.769,1.923,10989.041,980.358,-0.547,-0.093
9.908,0.84,1.438,11317.92,1298.136,0.444,0.397
10.084,0.737,2.037,11946.251,1045.337,0.496,1.728
9.457,0.713,1.873,10628.295,1168.626,-0.414,-0.569
12.471,0.742,1.939,11376.754,795.141,0.558,0.99
9.888,0.813,1.63,10982.621,1302.92,0.155,0.69
17.067,0.772,1.443,11416.789,958.994,-0.311,0.324
9.511,0.789,1.574,10828.31,1208.042,0.116,-0.287
8.952,0.878,1.211,11097.645,1179.172,0.337,-0.117
12.27,0.759,2.006,11188.944,1105.198,-0.129,1.177
10.011,0.842,1.228,11579.544,1315.954,0.127,0.354
9.619,0.79,1.782,11775.688,1363.865,0.02,0.591
8.35,0.825,1.348,12114.773,1808.14,0.17,-0.185
11.329,0.743,1.752,10902.836,1556.076,0.317,-0.548
11.437,0.829,1.52,11193.229,1155.585,-0.531,2.021
12.069,0.8,1.695,11348.104,1135.561,0.305,0.147
10.564,0.777,1.708,11405.418,1137.742,0.741,2.779
16.822,0.831,1.456,11060.515,843.193,-1.019,2.156
8.962,0.859,1.185,11521.46,1603.868,0.579,0.442
21.286,0.761,1.758,11087.028,1047.411,0.248,3.31
7.909,0.796,1.889,11000.209,872.651,-1.383,2.173
9.08,0.779,1.537,11652.954,1479.399,0.945,0.995
7.816,0.769,1.877,11730.923,502.19,-0.496,0.85
8.32,0.856,1.341,11501.804,907.827,0.011,0.653
