Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt
38.666,0.749,1.638,11583.293,1405.197,-0.227,0.531
23.584,0.822,1.536,11472.093,1025.916,-0.199,-0.075
22.119,0.768,1.717,11425.649,1391.098,0.667,0.866
18.341,0.794,1.76,10937.252,1103.33,-0.386,-0.031
33.119,0.717,1.747,11315.812,1236.867,0.25,0.032
8.129,0.71,1.774,12515.18,1562.815,0.809,-0.211
12.716,0.754,1.891,10923.301,1165.422,0.259,-0.444
18.953,0.806,1.566,11387.593,1062.482,-0.007,-0.344
21.095,0.74,1.682,11216.384,1393.21,0.091,-0.699
25.71,0.806,1.551,11574.841,1127.567,0.039,0.333
14.239,0.677,2.315,12110.931,1880.61,-0.075,-0.434
24.368,0.707,2.103,11210.489,892.275,0.622,1.337
14.592,0.81,1.448,11081.601,1564.525,-0.488,-0.339
18.434,0.716,2.081,11197.579,1374.632,0.013,0.194
18.248,0.673,2.372,11396.936,1088.302,0.226,0.215
9.349,0.781,1.975,10969.479,1245.2,-0.019,-0.91
17.371,0.776,1.544,11936.431,1371.31,0.583,-0.433
13.504,0.761,1.651,11763.818,1445.288,0.462,0.214
23.633,0.79,1.723,11456.34,1018.704,-0.454,0.561
15.445,0.725,2.054,11378.319,1129.249,0.836,1.715
14.989,0.765,1.661,11066.209,1560.474,0.152,0.235
22.883,0.788,1.748,10929.458,1218.814,0.864,1.591
24.088,0.766,1.67,12033.161,1702.428,0.588,-0.017
21.565,0.711,2.029,11219.599,1229.851,0.822,2.127
11.598,0.752,2.017,11344.767,1362.714,-0.148,-0.84
22.261,0.811,1.572,11318.473,1508.134,0.715,0.578
21.761,0.783,1.892,10718.122,1109.674,-0.119,-0.054
18.664,0.804,1.644,11070.761,1391.601,-0.225,-0.57
17.714,0.777,1.746,11351.608,1129.975,-0.067,0.464
36.441,0.812,1.522,11225.22,1191.091,-0.0006037,0.486
18.698,0.738,1.389,11613.383,2141.896,0.156,-0.853
15.866,0.757,1.738,11657.317,1072.146,1.224,2.927
28.151,0.758,1.548,11363.352,1293.788,0.255,0.914
19.115,0.79,1.674,10975.905,1273.621,0.923,1.909
25.402,0.778,1.72,11083.917,1283.72,0.291,1.479
20.698,0.685,1.915,11134.535,1335.061,-0.144,0.074
10.809,0.882,1.143,11274.92,1300.942,-0.414,0.129
17.547,0.747,2.08,11002.096,982.641,-0.386,0.541
18.782,0.782,1.504,11093.734,1317.157,0.225,-0.212
29.248,0.827,1.386,11639.303,1149.261,0.432,1.419
23.113,0.752,1.631,11357.875,1182.637,0.501,0.91
9.045,0.755,1.773,11876.278,1401.054,1.066,1.716
27.381,0.726,1.694,10989.55,1197.806,0.213,0.081
22.697,0.673,2.267,11430.39,1457.391,0.396,1.798
14.47,0.759,2.028,10748.813,1104.394,0.19,0.227
10.398,0.745,2.041,10815.16,2066.947,0.32,-0.542
20.58,0.682,2.069,12174.407,2182.344,-0.027,-0.086
21.06,0.817,1.406,10965.701,1197.795,-0.325,0.81
