Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt,Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
14.631,0.799,1.833,10987.524,819.055,0.355,1.937,24,11168.648,289,506,470091,week24_F09_cluster_1
16.969,0.809,1.701,11876.189,688.586,-0.63,0.413,24,11168.648,289,506,470091,week24_F09_cluster_1
14.69,0.801,1.732,11078.935,1089.262,-0.624,2.04,24,11168.648,289,506,470091,week24_F09_cluster_1
13.843,0.763,1.798,11583.517,1379.197,0.803,0.882,24,11168.648,289,506,470091,week24_F09_cluster_1
18.042,0.789,1.786,11810.948,814.448,0.697,1.766,24,11168.648,289,506,470091,week24_F09_cluster_1
16.925,0.857,1.192,11511.102,1229.546,0.633,1.314,24,11168.648,289,506,470091,week24_F09_cluster_1
27.416,0.783,1.821,11273.041,1197.056,-0.193,0.81,24,11168.648,289,506,470091,week24_F09_cluster_1
19.708,0.843,1.567,11004.826,873.285,0.013,0.59,24,11168.648,289,506,470091,week24_F09_cluster_1
22.584,0.783,1.699,11821.43,1229.676,0.749,0.535,24,11168.648,289,506,470091,week24_F09_cluster_1
31.35,0.841,1.428,12030.281,1379.617,0.504,0.788,24,11168.648,289,506,470091,week24_F09_cluster_1
24.652,0.811,1.57,11984.951,990.71,0.33,1.333,24,11168.648,289,506,470091,week24_F09_cluster_1
14.955,0.726,1.933,12118.241,1147.472,1.036,2.283,24,11168.648,289,506,470091,week24_F09_cluster_1
19.193,0.82,1.617,11147.355,899.701,-0.369,0.451,24,11168.648,289,506,470091,week24_F09_cluster_1
24.681,0.841,1.522,11983.544,1110.525,0.014,3.75,24,11168.648,289,506,470091,week24_F09_cluster_1
23.03,0.66,1.397,11215.737,826.036,-0.381,2.514,24,11168.648,289,506,470091,week24_F09_cluster_1
14.876,0.719,1.825,11958.179,1016.942,-0.264,0.582,24,11168.648,289,506,470091,week24_F09_cluster_1
20.673,0.674,2.19,11861.76,1076.356,0.455,1.552,24,11168.648,289,506,470091,week24_F09_cluster_1
26.313,0.822,1.268,11307.873,1214.481,-0.215,1.119,24,11168.648,289,506,470091,week24_F09_cluster_1
23.442,0.74,1.715,11095.781,814.523,-0.288,2.044,24,11168.648,289,506,470091,week24_F09_cluster_1
22.952,0.785,1.653,11847.905,1106.944,0.16,3.154,24,11168.648,289,506,470091,week24_F09_cluster_1
21.364,0.771,1.746,11985.364,1045.88,-0.456,2.363,24,11168.648,289,506,470091,week24_F09_cluster_1
25.735,0.797,1.724,11210.264,1040.258,0.258,0.694,24,11168.648,289,506,470091,week24_F09_cluster_1
30.684,0.713,1.694,11569.189,1591.91,-0.505,0.157,24,11168.648,289,506,470091,week24_F09_cluster_1
26.205,0.828,1.588,11137.326,833.11,0.109,0.016,24,11168.648,289,506,470091,week24_F09_cluster_1
6.037,0.867,1.495,10954.843,766.269,0.047,0.728,24,11168.648,289,506,470091,week24_F09_cluster_1
33.247,0.799,1.341,11906.145,1053.457,-0.267,1.928,24,11168.648,289,506,470091,week24_F09_cluster_1
16.003,0.744,1.745,11204.194,733.026,0.553,1.539,24,11168.648,289,506,470091,week24_F09_cluster_1
18.11,0.819,1.64,11394.525,972.757,-0.495,1.959,24,11168.648,289,506,470091,week24_F09_cluster_1
26.333,0.853,1.392,11125.044,915.128,-0.71,0.848,24,11168.648,289,506,470091,week24_F09_cluster_1
37.691,0.8,1.497,11953.716,1168.509,0.388,1.299,24,11168.648,289,506,470091,week24_F09_cluster_1
20.315,0.772,1.757,11793.029,1292.757,0.035,1.317,24,11168.648,289,506,470091,week24_F09_cluster_1
21.433,0.722,1.757,11559.434,909.274,0.98,4.189,24,11168.648,289,506,470091,week24_F09_cluster_1
6.561,0.891,1.32,11948.189,665.916,0.347,0.536,24,11168.648,289,506,470091,week24_F09_cluster_1
19.252,0.816,1.496,11961.017,1165.491,0.738,0.798,24,11168.648,289,506,470091,week24_F09_cluster_1
16.043,0.783,1.718,11393.028,950.766,-0.255,0.57,24,11168.648,289,506,470091,week24_F09_cluster_1
24.931,0.787,1.767,11182.111,708.964,-0.219,0.604,24,11168.648,289,506,470091,week24_F09_cluster_1
24.76,0.843,1.487,11254.942,819.484,0.178,0.566,24,11168.648,289,506,470091,week24_F09_cluster_1
22.878,0.765,1.58,11683.321,1081.919,0.017,0.207,24,11168.648,289,506,470091,week24_F09_cluster_1
18.899,0.816,1.258,11965.553,1126.563,-0.611,1.605,24,11168.648,289,506,470091,week24_F09_cluster_1
6.811,0.866,1.44,11462.442,895.041,0.192,-0.098,24,11168.648,289,506,470091,week24_F09_cluster_1
25.799,0.829,1.378,11491.97,1168.7,-0.391,0.815,24,11168.648,289,506,470091,week24_F09_cluster_1
29.317,0.81,1.574,11091.679,808.719,-0.063,0.941,24,11168.648,289,506,470091,week24_F09_cluster_1
26.877,0.754,1.805,11611.17,948.885,-0.858,0.953,24,11168.648,289,506,470091,week24_F09_cluster_1
23.304,0.715,1.75,11621.031,752.067,-0.087,0.266,24,11168.648,289,506,470091,week24_F09_cluster_1
27.577,0.817,1.712,11184.171,857.038,-0.805,1.077,24,11168.648,289,506,470091,week24_F09_cluster_1
28.337,0.744,1.808,11422.33,816.09,-0.668,2.49,24,11168.648,289,506,470091,week24_F09_cluster_1
28.033,0.684,2.276,11193.88,810.238,-0.139,1.25,24,11168.648,289,506,470091,week24_F09_cluster_1
9.094,0.792,1.601,11446.725,889.542,0.594,0.957,24,11168.648,289,506,470091,week24_F09_cluster_1
29.474,0.791,1.673,11261.325,1069.921,0.214,1.916,24,11168.648,289,506,470091,week24_F09_cluster_1
22.05,0.76,1.697,11814.625,974.822,0.506,1.222,24,11168.648,289,506,470091,week24_F09_cluster_1
27.724,0.771,1.831,11876.278,1098.606,-0.07,0.507,24,11168.648,289,506,470091,week24_F09_cluster_1
23.559,0.657,2.165,12101.102,1267.668,0.576,1.139,24,11168.648,289,506,470091,week24_F09_cluster_1
30.111,0.784,1.823,11144.155,1097.422,0.08,0.302,24,11168.648,289,506,470091,week24_F09_cluster_1
21.692,0.787,1.624,11540.285,1093.088,0.251,1.512,24,11168.648,289,506,470091,week24_F09_cluster_1
22.638,0.859,1.339,11712.913,1257.034,0.901,1.465,24,11168.648,289,506,470091,week24_F09_cluster_1
27.489,0.825,1.382,11971.765,1112.465,0.429,1.588,24,11168.648,289,506,470091,week24_F09_cluster_1
19.688,0.768,1.486,11786.914,1439.932,1.028,1.63,24,11168.648,289,506,470091,week24_F09_cluster_1
22.667,0.833,1.591,11794.159,1330.958,-0.379,-0.1,24,11168.648,289,506,470091,week24_F09_cluster_1
6.86,0.673,2.01,12715.201,1720.566,0.445,-0.677,24,11168.648,289,506,470091,week24_F09_cluster_1
10.153,0.762,1.451,11319.539,668.359,0.596,0.677,24,11168.648,289,506,470091,week24_F09_cluster_1
7.541,0.781,1.557,11274.6,1439.443,-0.579,-0.399,24,11168.648,289,506,470091,week24_F09_cluster_1
16.278,0.681,2.108,12090.442,1036.017,0.058,-0.055,24,11168.648,289,506,470091,week24_F09_cluster_1
24.456,0.821,1.569,11243.997,697.319,-0.747,0.85,24,11168.648,289,506,470091,week24_F09_cluster_1
26.906,0.701,1.764,11639.857,1195.111,-0.521,0.979,24,11168.648,289,506,470091,week24_F09_cluster_1
20.614,0.69,1.766,11564.29,1278.331,-0.485,0.409,24,11168.648,289,506,470091,week24_F09_cluster_1
15.778,0.75,1.839,11124.474,759.342,-0.11,0.423,24,11168.648,289,506,470091,week24_F09_cluster_1
21.643,0.701,2.202,11433.308,760.409,-0.107,0.92,24,11168.648,289,506,470091,week24_F09_cluster_1
25.495,0.79,1.53,11168.841,825.228,0.461,2.429,24,11168.648,289,506,470091,week24_F09_cluster_1
24.378,0.825,1.44,11335.844,774.625,0.342,1.619,24,11168.648,289,506,470091,week24_F09_cluster_1
26.73,0.787,1.704,11911.642,835.267,-0.308,0.327,24,11168.648,289,506,470091,week24_F09_cluster_1
23.329,0.754,1.729,11589.218,943.017,-0.819,1.51,24,11168.648,289,506,470091,week24_F09_cluster_1
7.977,0.865,1.465,10713.482,1064.549,-0.237,-0.506,24,11168.648,289,506,470091,week24_F09_cluster_1
29.866,0.753,1.488,11746.761,918.689,0.173,2.792,24,11168.648,289,506,470091,week24_F09_cluster_1
35.422,0.825,1.458,11837.357,1221.523,-0.453,0.98,24,11168.648,289,506,470091,week24_F09_cluster_1
26.308,0.765,1.929,12082.186,761.043,-0.015,0.293,24,11168.648,289,506,470091,week24_F09_cluster_1
25.279,0.754,1.526,12087.327,1094.261,0.473,1.202,24,11168.648,289,506,470091,week24_F09_cluster_1
25.637,0.805,1.665,11262.966,786.874,-0.479,1.445,24,11168.648,289,506,470091,week24_F09_cluster_1
24.706,0.737,1.681,11781.81,1218.979,0.204,0.888,24,11168.648,289,506,470091,week24_F09_cluster_1
23.966,0.713,1.784,11499.617,679.44,0.508,3.917,24,11168.648,289,506,470091,week24_F09_cluster_1
22.736,0.807,1.735,11183.762,696.771,-0.19,-0.031,24,11168.648,289,506,470091,week24_F09_cluster_1
11.197,0.754,1.742,11287.179,944.455,-0.769,1.078,24,11168.648,289,506,470091,week24_F09_cluster_1
25.735,0.768,1.694,11679.687,932.679,0.008,2.34,24,11168.648,289,506,470091,week24_F09_cluster_1
13.617,0.775,1.819,11330.62,727.563,0.457,1.138,24,11168.648,289,506,470091,week24_F09_cluster_1
24.162,0.839,1.307,12247.106,1387.467,0.503,1.003,24,11168.648,289,506,470091,week24_F09_cluster_1
29.091,0.808,1.458,11428.53,902.761,0.146,1.202,24,11168.648,289,506,470091,week24_F09_cluster_1
16.601,0.756,1.791,11690.019,1137.177,0.117,1.229,24,11168.648,289,506,470091,week24_F09_cluster_1
30.904,0.839,1.444,11294.962,1026.095,-0.024,1.094,24,11168.648,289,506,470091,week24_F09_cluster_1
8.653,0.791,1.795,11329.458,999.025,-0.546,-0.38,24,11168.648,289,506,470091,week24_F09_cluster_1
